tipo_celular,module_size,ATXN10_MM,ATXN10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.153,42.0,140,7,5.0,6.01 (4.11-7.92),133,95.0,4.43 (4.00-4.86)
T cells 18,624,0.187,75.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.149,75.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68)
oligodendrocyte progenitor cells 7,448,0.116,30.0,108,1,0.93,NA,107,99.07,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,567,0.159,35.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,380,0.186,60.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,853,0.146,60.0,133,2,1.5,1.86 (-1.39-5.11),131,98.5,3.28 (2.97-3.59)
GABA neurons expressing GABA receptors 13,265,0.172,58.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,1653,0.156,71.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,358,0.108,30.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,1300,0.148,23.0,306,33,10.78,4.07 (3.32-4.82),273,89.22,5.26 (4.99-5.53)
astrocytes 8,771,0.081,31.0,48,1,2.08,7.18 (NA-NA),47,97.92,4.36 (3.60-5.11)
oligodendrocyte progenitor cells 12,153,0.371,34.0,27,2,7.41,0.95 (NA-NA),25,92.59,5.08 (4.23-5.92)
oligodendrocytes 10,2107,0.081,18.0,358,8,2.23,1.36 (0.59-2.13),350,97.77,3.94 (3.75-4.13)
connective tissue cells 21,139,0.27,37.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1768,0.149,91.0,105,5,4.76,1.23 (0.54-1.93),100,95.24,3.32 (2.98-3.66)
oligodendrocytes 16,313,0.153,21.0,291,4,1.37,5.31 (0.64-9.98),287,98.63,4.31 (4.09-4.53)
da neurons 6,409,0.22,82.0,235,2,0.85,4.11 (3.81-4.41),233,99.15,3.97 (3.72-4.23)
astrocytes microglia 23,229,0.183,11.0,99,7,7.07,3.19 (2.74-3.65),92,92.93,4.39 (4.04-4.75)
astrocytes 4,752,0.137,27.0,96,2,2.08,4.78 (3.49-6.08),94,97.92,3.25 (2.92-3.58)
oligodendrocytes 0,1186,0.154,66.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00)
microglia 1,813,0.173,86.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003,0.1,54.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.131,25.0,84,4,4.76,1.16 (0.44-1.88),80,95.24,2.79 (2.44-3.13)
