tipo_celular,module_size,GLS_MM,GLS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.14,27.0,102,6,5.88,1.55 (0.78-2.33),96,94.12,3.63 (3.26-4.00)
T cells 18,388,0.17,61.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1141,0.154,79.0,166,12,7.23,1.80 (1.17-2.42),154,92.77,3.54 (3.29-3.80)
oligodendrocyte progenitor cells 7,666,0.121,17.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,459,0.208,69.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,795,0.162,65.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,132,0.329,70.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,357,0.163,50.0,237,8,3.38,4.18 (3.74-4.62),229,96.62,4.42 (4.18-4.66)
endothelial cells 9,412,0.213,65.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,295,0.257,76.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,1300,0.049,3.0,306,4,1.31,1.41 (0.62-2.20),302,98.69,5.16 (4.91-5.42)
astrocytes 8,520,0.219,74.0,288,8,2.78,2.80 (2.02-3.58),280,97.22,4.22 (4.02-4.43)
oligodendrocyte progenitor cells 12,143,0.422,45.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,2107,0.203,70.0,358,20,5.59,1.40 (0.97-1.82),338,94.41,4.06 (3.88-4.25)
connective tissue cells 21,111,0.311,70.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1768,0.131,84.0,105,14,13.33,1.70 (1.25-2.15),91,86.67,3.47 (3.11-3.82)
oligodendrocytes 16,313,0.172,29.0,291,6,2.06,3.20 (2.15-4.26),285,97.94,4.36 (4.13-4.58)
da neurons 6,300,0.284,84.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,253,0.167,6.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22)
astrocytes 4,787,0.147,41.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,1186,0.155,68.0,300,1,0.33,2.89 (NA-NA),299,99.67,3.80 (3.59-4.00)
microglia 1,958,0.196,98.0,290,6,2.07,2.66 (2.05-3.28),284,97.93,3.84 (3.61-4.08)
oligodendrocytes 3,854,0.125,80.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804,0.162,61.0,84,6,7.14,1.33 (0.67-1.99),78,92.86,2.82 (2.48-3.17)
