tipo_celular,module_size,PTPRA_MM,PTPRA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.179,31.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,282,0.128,35.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,117,0.063,0.0,28,5,17.86,3.30 (1.91-4.69),23,82.14,5.81 (5.38-6.24)
oligodendrocyte progenitor cells 7,448,0.129,41.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,203,0.197,23.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,300,0.191,54.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,853,0.118,40.0,133,5,3.76,1.55 (0.13-2.97),128,96.24,3.33 (3.02-3.65)
GABA neurons expressing GABA receptors 13,265,0.183,65.0,78,2,2.56,NA,76,97.44,4.36 (3.94-4.77)
endothelial cells 9,1653,0.069,7.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,938,0.137,55.0,169,14,8.28,2.68 (1.51-3.85),155,91.72,3.53 (3.31-3.75)
GABA like neurons 14,2402,0.28,62.0,455,15,3.3,2.15 (1.12-3.19),440,96.7,4.40 (4.22-4.59)
astrocytes 8,1266,0.072,39.0,66,8,12.12,1.53 (0.67-2.39),58,87.88,3.50 (3.08-3.92)
oligodendrocyte progenitor cells 12,143,0.432,51.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,2107,0.046,5.0,358,14,3.91,1.37 (0.86-1.88),344,96.09,4.00 (3.81-4.19)
connective tissue cells 21,82,0.221,20.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,1768,0.097,60.0,105,8,7.62,1.59 (0.88-2.30),97,92.38,3.36 (3.01-3.70)
oligodendrocytes 16,74,0.142,17.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.1,22.0,182,4,2.2,2.87 (2.83-2.90),178,97.8,3.65 (3.39-3.90)
astrocytes microglia 23,190,0.264,49.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24)
astrocytes 4,752,0.081,1.0,96,1,1.04,3.41 (NA-NA),95,98.96,3.29 (2.95-3.62)
oligodendrocytes 0,1186,0.075,1.0,300,3,1.0,3.83 (2.46-5.20),297,99.0,3.79 (3.59-4.00)
microglia 1,813,0.062,1.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003,0.073,25.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,347,0.093,2.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
