tipo_celular,module_size,IFNAR1_MM,IFNAR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.183,35.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,610,0.179,70.0,98,7,7.14,2.14 (1.13-3.16),91,92.86,3.20 (2.88-3.53)
astrocytes 5,1656,0.13,74.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.132,45.0,353,7,1.98,1.85 (0.76-2.93),346,98.02,3.94 (3.76-4.13)
GABA neurons expressing GLU receptors 22,487,0.136,17.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,685,0.131,50.0,135,11,8.15,1.69 (1.14-2.25),124,91.85,3.35 (3.03-3.67)
da like neurons 11,1220,0.092,12.0,410,4,0.98,2.56 (1.25-3.88),406,99.02,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,86,0.204,78.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,559,0.207,66.0,155,1,0.65,3.42 (NA-NA),154,99.35,4.35 (3.98-4.71)
oligodendrocytes 20,271,0.139,33.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.181,35.0,455,5,1.1,2.21 (0.99-3.44),450,98.9,4.37 (4.19-4.56)
astrocytes 8,520,0.06,18.0,288,5,1.74,2.31 (1.17-3.44),283,98.26,4.21 (4.02-4.41)
oligodendrocyte progenitor cells 12,3303,0.071,39.0,276,10,3.62,1.93 (1.21-2.66),266,96.38,3.62 (3.40-3.84)
oligodendrocytes 10,483,0.111,47.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,104,0.288,49.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.058,22.0,105,6,5.71,1.85 (0.56-3.13),99,94.29,3.30 (2.96-3.64)
oligodendrocytes 16,156,0.212,59.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,448,0.078,21.0,43,1,2.33,3.78 (NA-NA),42,97.67,3.27 (2.73-3.80)
astrocytes microglia 23,112,0.252,15.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.139,38.0,104,6,5.77,1.85 (0.56-3.13),98,94.23,2.93 (2.65-3.21)
oligodendrocytes 0,2078,0.121,64.0,238,2,0.84,1.42 (-0.96-3.80),236,99.16,3.66 (3.44-3.88)
microglia 1,958,0.11,48.0,290,6,2.07,1.47 (0.95-1.99),284,97.93,3.88 (3.65-4.11)
oligodendrocytes 3,743,0.068,30.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630,0.129,25.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
