tipo_celular,module_size,YWHAZ_MM,YWHAZ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.186,50.0,102,51,50.0,3.06 (2.66-3.45),51,50.0,3.92 (3.34-4.49)
T cells 18,506,0.156,39.0,225,43,19.11,3.30 (2.83-3.76),182,80.89,3.69 (3.40-3.98)
astrocytes 5,228,0.175,50.0,266,43,16.17,2.98 (2.40-3.57),223,83.83,4.31 (4.10-4.53)
oligodendrocyte progenitor cells 7,296,0.178,50.0,251,5,1.99,NA,246,98.01,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.239,61.0,262,37,14.12,3.33 (2.69-3.98),225,85.88,4.29 (4.02-4.55)
GLU like neurons 17,1316,0.186,90.0,101,5,4.95,3.30 (2.56-4.04),96,95.05,3.04 (2.68-3.41)
da like neurons 11,1220,0.265,74.0,410,35,8.54,3.69 (3.16-4.21),375,91.46,4.30 (4.10-4.49)
GABA neurons expressing GABA receptors 13,265,0.163,52.0,78,6,7.69,4.08 (2.46-5.69),72,92.31,4.39 (3.96-4.82)
endothelial cells 9,586,0.116,25.0,62,3,4.84,2.43 (NA-NA),59,95.16,4.08 (3.63-4.53)
oligodendrocytes 20,275,0.091,11.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,2402,0.255,57.0,455,51,11.21,2.53 (2.03-3.02),404,88.79,4.59 (4.41-4.78)
astrocytes 8,520,0.273,83.0,288,38,13.19,3.60 (3.13-4.07),250,86.81,4.25 (4.04-4.47)
oligodendrocyte progenitor cells 12,3303,0.05,15.0,276,57,20.65,2.33 (2.03-2.63),219,79.35,3.93 (3.69-4.17)
oligodendrocytes 10,806,0.291,78.0,261,19,7.28,4.08 (3.23-4.93),242,92.72,4.38 (4.13-4.64)
connective tissue cells 21,111,0.315,64.0,26,1,3.85,6.20 (NA-NA),25,96.15,2.33 (1.76-2.90)
astrocytes 15,458,0.096,52.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,313,0.265,65.0,291,19,6.53,3.35 (2.49-4.20),272,93.47,4.39 (4.16-4.62)
da neurons 6,228,0.194,89.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,124,0.183,0.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,514,0.233,71.0,95,10,10.53,3.08 (1.33-4.84),85,89.47,3.40 (2.98-3.83)
oligodendrocytes 0,1186,0.145,52.0,300,24,8.0,3.94 (3.52-4.36),276,92.0,3.78 (3.56-4.00)
microglia 1,214,0.119,21.0,227,13,5.73,4.12 (3.62-4.62),214,94.27,4.09 (3.84-4.34)
oligodendrocytes 3,457,0.131,59.0,345,43,12.46,3.73 (3.27-4.20),302,87.54,4.35 (4.12-4.57)
oligodendrocytes 2,528,0.154,21.0,175,25,14.29,4.23 (3.69-4.77),150,85.71,4.40 (4.00-4.80)
