tipo_celular,module_size,EDEM3_MM,EDEM3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.113,19.0,97,4,4.12,4.34 (2.12-6.56),93,95.88,2.99 (2.59-3.38)
T cells 18,727,0.173,72.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1141,0.144,69.0,166,12,7.23,2.28 (1.45-3.10),154,92.77,3.50 (3.24-3.76)
oligodendrocyte progenitor cells 7,4285,0.175,96.0,353,21,5.95,2.07 (1.37-2.77),332,94.05,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,599,0.232,63.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685,0.12,42.0,135,10,7.41,2.24 (1.55-2.92),125,92.59,3.28 (2.96-3.61)
da like neurons 11,142,0.227,51.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,90,0.113,14.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70)
endothelial cells 9,385,0.1,47.0,275,18,6.55,2.07 (1.30-2.84),257,93.45,4.15 (3.89-4.41)
oligodendrocytes 20,348,0.134,52.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052,0.176,80.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727,0.056,15.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.06,27.0,276,13,4.71,2.64 (2.01-3.27),263,95.29,3.60 (3.37-3.83)
oligodendrocytes 10,2107,0.102,30.0,358,19,5.31,1.86 (1.21-2.51),339,94.69,4.01 (3.83-4.20)
connective tissue cells 21,106,0.296,57.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,1768,0.196,99.0,105,15,14.29,2.55 (1.90-3.20),90,85.71,3.33 (2.96-3.71)
oligodendrocytes 16,113,0.133,17.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,518,0.092,30.0,122,17,13.93,2.80 (1.90-3.70),105,86.07,4.25 (3.84-4.67)
astrocytes microglia 23,39,0.247,14.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787,0.154,56.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.133,86.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88)
microglia 1,813,0.143,75.0,79,3,3.8,3.95 (1.88-6.03),76,96.2,3.06 (2.65-3.48)
oligodendrocytes 3,681,0.091,46.0,87,9,10.34,1.72 (0.92-2.53),78,89.66,2.69 (2.41-2.97)
oligodendrocytes 2,921,0.14,55.0,200,4,2.0,2.62 (1.96-3.29),196,98.0,3.65 (3.38-3.92)
