tipo_celular,module_size,YLPM1_MM,YLPM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.184,28.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,624,0.194,80.0,142,4,2.82,3.62 (3.08-4.17),138,97.18,3.20 (2.92-3.47)
astrocytes 5,1141,0.117,29.0,166,24,14.46,2.03 (1.51-2.55),142,85.54,3.65 (3.39-3.91)
oligodendrocyte progenitor cells 7,4285,0.147,68.0,353,35,9.92,1.78 (1.41-2.15),318,90.08,4.18 (4.00-4.36)
GABA neurons expressing GLU receptors 22,823,0.142,27.0,23,2,8.7,1.01 (NA-NA),21,91.3,2.48 (1.73-3.23)
GLU like neurons 17,795,0.085,21.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,265,0.051,2.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,265,0.137,38.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,1653,0.128,50.0,297,3,1.01,3.88 (3.59-4.17),294,98.99,3.67 (3.46-3.88)
oligodendrocytes 20,275,0.162,34.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,1300,0.255,72.0,306,8,2.61,1.47 (0.79-2.15),298,97.39,5.24 (4.99-5.49)
astrocytes 8,218,0.074,42.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303,0.107,80.0,276,26,9.42,1.94 (1.58-2.31),250,90.58,3.76 (3.53-3.98)
oligodendrocytes 10,2107,0.11,34.0,358,40,11.17,1.88 (1.47-2.28),318,88.83,4.19 (4.01-4.37)
connective tissue cells 21,114,0.204,22.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61)
astrocytes 15,377,0.183,73.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,121,0.127,5.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,518,0.134,73.0,122,9,7.38,1.29 (0.56-2.01),113,92.62,4.24 (3.86-4.63)
astrocytes microglia 23,100,0.203,8.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96)
astrocytes 4,752,0.158,57.0,96,10,10.42,3.42 (2.71-4.14),86,89.58,3.27 (2.91-3.63)
oligodendrocytes 0,1186,0.173,89.0,300,6,2.0,4.17 (3.62-4.72),294,98.0,3.78 (3.57-3.99)
microglia 1,1615,0.128,74.0,161,31,19.25,1.65 (1.28-2.03),130,80.75,3.73 (3.46-4.00)
oligodendrocytes 3,854,0.11,72.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,804,0.154,53.0,84,6,7.14,1.75 (0.76-2.74),78,92.86,2.78 (2.43-3.13)
