tipo_celular,module_size,ATP6V0D1_MM,ATP6V0D1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.147,18.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,282,0.259,82.0,241,20,8.3,4.80 (4.04-5.57),221,91.7,3.98 (3.72-4.24)
astrocytes 5,228,0.174,49.0,266,82,30.83,3.54 (3.19-3.90),184,69.17,4.45 (4.20-4.69)
oligodendrocyte progenitor cells 7,296,0.235,72.0,251,8,3.19,4.38 (3.88-4.88),243,96.81,4.05 (3.80-4.30)
GABA neurons expressing GLU receptors 22,848,0.328,81.0,262,37,14.12,3.52 (2.93-4.10),225,85.88,4.30 (4.03-4.56)
GLU like neurons 17,489,0.096,21.0,42,2,4.76,4.12 (4.12-4.12),40,95.24,6.13 (5.56-6.69)
da like neurons 11,1220,0.316,84.0,410,50,12.2,3.85 (3.39-4.32),360,87.8,4.32 (4.11-4.52)
GABA neurons expressing GABA receptors 13,86,0.243,95.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,338,0.214,74.0,191,45,23.56,4.35 (3.97-4.73),146,76.44,3.72 (3.45-3.98)
oligodendrocytes 20,938,0.173,71.0,169,24,14.2,2.91 (2.41-3.41),145,85.8,3.58 (3.34-3.81)
GABA like neurons 14,2402,0.472,86.0,455,51,11.21,3.32 (2.77-3.88),404,88.79,4.50 (4.31-4.69)
astrocytes 8,520,0.284,85.0,288,60,20.83,3.84 (3.41-4.28),228,79.17,4.27 (4.05-4.49)
oligodendrocyte progenitor cells 12,1049,0.056,21.0,235,21,8.94,3.78 (3.40-4.16),214,91.06,3.83 (3.57-4.08)
oligodendrocytes 10,806,0.308,80.0,261,49,18.77,3.93 (3.55-4.31),212,81.23,4.48 (4.19-4.77)
connective tissue cells 21,114,0.32,73.0,11,1,9.09,0.40 (NA-NA),10,90.91,1.74 (0.59-2.89)
astrocytes 15,208,0.042,17.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,313,0.328,78.0,291,68,23.37,4.06 (3.70-4.41),223,76.63,4.43 (4.16-4.71)
da neurons 6,409,0.247,87.0,235,11,4.68,4.18 (3.06-5.30),224,95.32,3.96 (3.70-4.22)
astrocytes microglia 23,122,0.288,42.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,157,0.15,27.0,178,48,26.97,3.58 (2.97-4.18),130,73.03,4.38 (4.10-4.66)
oligodendrocytes 0,116,0.093,13.0,169,12,7.1,4.96 (4.09-5.84),157,92.9,4.21 (3.89-4.52)
microglia 1,214,0.132,27.0,227,31,13.66,4.34 (3.83-4.86),196,86.34,4.05 (3.78-4.31)
oligodendrocytes 3,457,0.137,61.0,345,69,20.0,4.06 (3.68-4.44),276,80.0,4.34 (4.10-4.59)
oligodendrocytes 2,99,0.162,18.0,116,4,3.45,4.68 (4.11-5.25),112,96.55,3.92 (3.61-4.23)
