tipo_celular,module_size,PCNP_MM,PCNP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.106,15.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,610,0.139,39.0,98,29,29.59,2.29 (1.77-2.81),69,70.41,3.51 (3.15-3.86)
astrocytes 5,1656,0.151,95.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285,0.148,69.0,353,35,9.92,2.54 (2.02-3.06),318,90.08,4.08 (3.89-4.27)
GABA neurons expressing GLU receptors 22,848,0.2,45.0,262,15,5.73,3.38 (2.58-4.18),247,94.27,4.23 (3.97-4.48)
GLU like neurons 17,229,0.23,71.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,1220,0.116,22.0,410,15,3.66,3.52 (3.00-4.03),395,96.34,4.29 (4.09-4.48)
GABA neurons expressing GABA receptors 13,238,0.142,35.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,385,0.071,15.0,275,27,9.82,2.24 (1.69-2.79),248,90.18,4.22 (3.96-4.49)
oligodendrocytes 20,275,0.116,17.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2402,0.305,67.0,455,30,6.59,2.60 (2.03-3.17),425,93.41,4.52 (4.33-4.70)
astrocytes 8,520,0.072,26.0,288,11,3.82,3.37 (2.70-4.03),277,96.18,4.21 (4.01-4.42)
oligodendrocyte progenitor cells 12,3303,0.067,35.0,276,28,10.14,3.00 (2.52-3.48),248,89.86,3.62 (3.39-3.86)
oligodendrocytes 10,735,0.095,50.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,125,0.278,43.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,458,0.042,12.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,81,0.124,13.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,553,0.104,31.0,124,7,5.65,3.69 (2.43-4.95),117,94.35,4.22 (3.81-4.64)
astrocytes microglia 23,94,0.218,7.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.157,73.0,104,22,21.15,2.22 (1.70-2.74),82,78.85,3.04 (2.72-3.36)
oligodendrocytes 0,613,0.148,56.0,127,4,3.15,2.54 (0.99-4.09),123,96.85,3.07 (2.64-3.50)
microglia 1,1615,0.091,24.0,161,30,18.63,2.39 (1.81-2.98),131,81.37,3.52 (3.23-3.81)
oligodendrocytes 3,743,0.096,68.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.158,82.0,200,3,1.5,2.73 (1.22-4.24),197,98.5,3.63 (3.36-3.90)
