tipo_celular,module_size,MOSMO_MM,MOSMO_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.086,7.0,15,3,20.0,5.41 (5.28-5.54),12,80.0,5.93 (4.97-6.89)
T cells 18,727,0.086,8.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,932,0.118,64.0,80,1,1.25,NA,79,98.75,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.121,28.0,353,13,3.68,1.44 (0.81-2.07),340,96.32,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,400,0.266,83.0,24,8,33.33,0.96 (0.33-1.58),16,66.67,2.75 (2.27-3.24)
GLU like neurons 17,300,0.151,19.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,215,0.267,72.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,238,0.184,60.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,412,0.242,74.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,403,0.025,3.0,18,5,27.78,0.56 (0.36-0.76),13,72.22,2.38 (1.61-3.16)
GABA like neurons 14,1300,0.129,16.0,306,32,10.46,3.06 (2.59-3.54),274,89.54,5.47 (5.20-5.73)
astrocytes 8,1266,0.074,41.0,66,16,24.24,2.50 (1.38-3.63),50,75.76,3.46 (3.06-3.87)
oligodendrocyte progenitor cells 12,3303,0.077,48.0,276,4,1.45,1.87 (0.75-2.98),272,98.55,3.57 (3.36-3.79)
oligodendrocytes 10,806,0.097,25.0,261,10,3.83,3.79 (2.79-4.79),251,96.17,4.40 (4.15-4.64)
connective tissue cells 21,103,0.237,23.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,261,0.139,45.0,8,3,37.5,1.32 (-0.64-3.28),5,62.5,5.45 (3.66-7.23)
oligodendrocytes 16,64,0.152,16.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,553,0.188,81.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,37,0.325,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.167,78.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078,0.106,32.0,238,2,0.84,1.76 (-1.29-4.81),236,99.16,3.65 (3.43-3.88)
microglia 1,813,0.111,44.0,79,3,3.8,2.28 (1.65-2.91),76,96.2,3.14 (2.72-3.55)
oligodendrocytes 3,1003,0.052,7.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921,0.123,26.0,200,2,1.0,1.99 (1.51-2.47),198,99.0,3.64 (3.37-3.91)
