tipo_celular,module_size,ZBTB7A_MM,ZBTB7A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.161,19.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,727,0.077,5.0,49,1,2.04,3.05 (NA-NA),48,97.96,2.41 (2.01-2.82)
astrocytes 5,932,0.124,73.0,80,16,20.0,5.56 (4.50-6.61),64,80.0,3.38 (2.98-3.78)
oligodendrocyte progenitor cells 7,4285,0.107,14.0,353,76,21.53,2.59 (2.26-2.92),277,78.47,4.38 (4.19-4.56)
GABA neurons expressing GLU receptors 22,848,0.167,31.0,262,20,7.63,2.90 (2.19-3.61),242,92.37,4.28 (4.03-4.54)
GLU like neurons 17,1247,0.074,11.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,853,0.108,33.0,133,64,48.12,2.69 (2.33-3.04),69,51.88,4.00 (3.52-4.48)
GABA neurons expressing GABA receptors 13,266,0.234,82.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,303,0.082,17.0,54,1,1.85,5.24 (NA-NA),53,98.15,4.83 (4.18-5.47)
oligodendrocytes 20,358,0.072,25.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79)
GABA like neurons 14,2090,0.298,98.0,74,16,21.62,2.32 (2.04-2.60),58,78.38,3.13 (2.66-3.60)
astrocytes 8,1266,0.081,50.0,66,21,31.82,1.93 (1.12-2.73),45,68.18,3.83 (3.46-4.19)
oligodendrocyte progenitor cells 12,3303,0.114,85.0,276,47,17.03,2.25 (1.95-2.56),229,82.97,3.90 (3.66-4.14)
oligodendrocytes 10,806,0.103,28.0,261,9,3.45,3.71 (3.26-4.17),252,96.55,4.40 (4.14-4.65)
connective tissue cells 21,136,0.255,34.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,367,0.087,19.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,90,0.176,26.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,307,0.2,93.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,157,0.241,10.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.178,91.0,61,5,8.2,2.55 (1.90-3.20),56,91.8,3.01 (2.56-3.45)
oligodendrocytes 0,613,0.106,13.0,127,28,22.05,2.67 (2.32-3.01),99,77.95,3.23 (2.65-3.80)
microglia 1,958,0.097,28.0,290,40,13.79,3.55 (3.00-4.09),250,86.21,3.87 (3.61-4.12)
oligodendrocytes 3,357,0.085,43.0,127,10,7.87,3.69 (2.86-4.52),117,92.13,3.06 (2.70-3.41)
oligodendrocytes 2,921,0.114,16.0,200,18,9.0,3.66 (2.92-4.39),182,91.0,3.62 (3.33-3.90)
