tipo_celular,module_size,ACTR10_MM,ACTR10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.095,9.0,140,23,16.43,4.20 (3.24-5.15),117,83.57,4.56 (4.09-5.03)
T cells 18,349,0.102,18.0,68,5,7.35,3.00 (1.85-4.15),63,92.65,4.52 (3.93-5.11)
astrocytes 5,228,0.108,15.0,266,44,16.54,3.15 (2.50-3.79),222,83.46,4.29 (4.08-4.50)
oligodendrocyte progenitor cells 7,296,0.141,25.0,251,16,6.37,5.09 (3.81-6.38),235,93.63,4.03 (3.79-4.27)
GABA neurons expressing GLU receptors 22,848,0.214,52.0,262,21,8.02,3.12 (2.31-3.93),241,91.98,4.23 (3.97-4.48)
GLU like neurons 17,1316,0.141,66.0,101,3,2.97,4.05 (NA-NA),98,97.03,3.04 (2.69-3.39)
da like neurons 11,1220,0.206,59.0,410,29,7.07,3.38 (2.44-4.32),381,92.93,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,417,0.088,4.0,213,19,8.92,1.87 (1.14-2.59),194,91.08,3.97 (3.74-4.21)
endothelial cells 9,338,0.136,52.0,191,10,5.24,4.10 (2.96-5.24),181,94.76,3.87 (3.64-4.10)
oligodendrocytes 20,253,0.173,59.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.237,52.0,455,37,8.13,2.66 (1.94-3.38),418,91.87,4.48 (4.30-4.67)
astrocytes 8,520,0.198,70.0,288,37,12.85,3.65 (3.00-4.31),251,87.15,4.24 (4.03-4.44)
oligodendrocyte progenitor cells 12,3303,0.085,58.0,276,22,7.97,2.82 (2.16-3.48),254,92.03,3.62 (3.39-3.85)
oligodendrocytes 10,806,0.257,72.0,261,19,7.28,3.70 (2.96-4.44),242,92.72,4.42 (4.17-4.67)
connective tissue cells 21,102,0.172,2.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.095,58.0,105,10,9.52,1.81 (1.23-2.39),95,90.48,3.37 (3.02-3.73)
oligodendrocytes 16,313,0.231,56.0,291,30,10.31,3.71 (3.00-4.43),261,89.69,4.39 (4.16-4.63)
da neurons 6,409,0.234,85.0,235,15,6.38,3.81 (2.70-4.91),220,93.62,3.98 (3.73-4.24)
astrocytes microglia 23,80,0.274,21.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.16,68.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.082,5.0,238,4,1.68,2.25 (0.68-3.82),234,98.32,3.66 (3.44-3.89)
microglia 1,214,0.14,32.0,227,25,11.01,4.35 (3.72-4.98),202,88.99,4.07 (3.82-4.32)
oligodendrocytes 3,457,0.091,35.0,345,30,8.7,3.68 (2.99-4.37),315,91.3,4.32 (4.11-4.54)
oligodendrocytes 2,99,0.107,8.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26)
