tipo_celular,module_size,AUH_MM,AUH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.162,54.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,624,0.229,92.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.131,50.0,166,11,6.63,1.58 (0.91-2.25),155,93.37,3.53 (3.28-3.78)
oligodendrocyte progenitor cells 7,4285,0.176,96.0,353,22,6.23,1.79 (1.01-2.56),331,93.77,4.06 (3.89-4.24)
GABA neurons expressing GLU receptors 22,823,0.213,72.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,489,0.122,38.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,145,0.264,59.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,266,0.076,2.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,1653,0.158,72.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,279,0.008,1.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,1300,0.218,55.0,306,1,0.33,0.21 (NA-NA),305,99.67,5.12 (4.85-5.38)
astrocytes 8,354,0.066,18.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708,0.102,44.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107,0.179,62.0,358,19,5.31,1.35 (0.87-1.83),339,94.69,4.04 (3.86-4.23)
connective tissue cells 21,104,0.142,2.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1768,0.053,16.0,105,14,13.33,1.78 (1.24-2.32),91,86.67,3.43 (3.08-3.79)
oligodendrocytes 16,122,0.15,13.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,448,0.086,29.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,190,0.309,76.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,752,0.179,87.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.187,96.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615,0.192,99.0,161,18,11.18,1.27 (0.84-1.71),143,88.82,3.59 (3.33-3.85)
oligodendrocytes 3,1003,0.136,79.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.188,84.0,84,4,4.76,1.13 (0.16-2.09),80,95.24,2.79 (2.45-3.13)
