tipo_celular,module_size,SON_MM,SON_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.106,2.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,506,0.22,61.0,225,13,5.78,2.60 (1.76-3.45),212,94.22,3.70 (3.44-3.96)
astrocytes 5,328,0.235,75.0,128,7,5.47,4.81 (4.29-5.32),121,94.53,3.47 (3.11-3.83)
oligodendrocyte progenitor cells 7,448,0.317,91.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,848,0.147,22.0,262,7,2.67,1.36 (0.61-2.10),255,97.33,4.27 (4.03-4.51)
GLU like neurons 17,1247,0.059,5.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,1220,0.171,47.0,410,7,1.71,3.69 (2.60-4.77),403,98.29,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,88,0.133,30.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,916,0.189,44.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23)
oligodendrocytes 20,330,0.122,27.0,36,17,47.22,2.02 (1.78-2.26),19,52.78,1.83 (1.21-2.46)
GABA like neurons 14,2402,0.293,65.0,455,28,6.15,1.89 (1.47-2.30),427,93.85,4.57 (4.39-4.75)
astrocytes 8,603,0.163,84.0,89,9,10.11,1.40 (1.01-1.78),80,89.89,2.98 (2.61-3.35)
oligodendrocyte progenitor cells 12,138,0.467,52.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,130,0.335,33.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,301,0.125,1.0,158,10,6.33,3.51 (2.33-4.69),148,93.67,4.33 (3.94-4.71)
astrocytes 15,1768,0.221,100.0,105,31,29.52,2.29 (1.78-2.81),74,70.48,3.60 (3.21-3.99)
oligodendrocytes 16,153,0.139,6.0,14,1,7.14,5.15 (NA-NA),13,92.86,4.63 (3.84-5.42)
da neurons 6,729,0.07,7.0,182,5,2.75,1.71 (1.16-2.26),177,97.25,3.70 (3.45-3.96)
astrocytes microglia 23,166,0.194,14.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,208,0.216,62.0,173,7,4.05,4.81 (4.29-5.32),166,95.95,3.73 (3.42-4.04)
oligodendrocytes 0,546,0.172,52.0,252,18,7.14,1.48 (0.95-2.01),234,92.86,4.36 (4.13-4.60)
microglia 1,406,0.091,10.0,278,6,2.16,4.88 (4.29-5.46),272,97.84,4.34 (4.06-4.62)
oligodendrocytes 3,357,0.145,79.0,127,7,5.51,3.73 (2.48-4.98),120,94.49,3.08 (2.74-3.42)
oligodendrocytes 2,526,0.241,45.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
