tipo_celular,module_size,TAX1BP1_MM,TAX1BP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.139,38.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,282,0.151,46.0,241,2,0.83,2.97 (0.71-5.23),239,99.17,4.07 (3.81-4.32)
astrocytes 5,1141,0.117,30.0,166,20,12.05,1.67 (1.34-2.00),146,87.95,3.68 (3.43-3.94)
oligodendrocyte progenitor cells 7,4285,0.135,50.0,353,44,12.46,1.96 (1.64-2.27),309,87.54,4.25 (4.07-4.43)
GABA neurons expressing GLU receptors 22,848,0.232,58.0,262,15,5.73,3.13 (1.93-4.32),247,94.27,4.22 (3.97-4.47)
GLU like neurons 17,1247,0.115,36.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,140,0.185,37.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,357,0.234,77.0,237,2,0.84,4.12 (NA-NA),235,99.16,4.41 (4.18-4.64)
endothelial cells 9,658,0.066,4.0,120,19,15.83,3.58 (2.94-4.23),101,84.17,4.83 (4.49-5.18)
oligodendrocytes 20,253,0.12,29.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.178,34.0,455,25,5.49,1.87 (1.21-2.52),430,94.51,4.50 (4.32-4.68)
astrocytes 8,520,0.121,51.0,288,16,5.56,3.13 (2.40-3.86),272,94.44,4.22 (4.02-4.43)
oligodendrocyte progenitor cells 12,3303,0.099,74.0,276,31,11.23,1.95 (1.65-2.25),245,88.77,3.82 (3.59-4.04)
oligodendrocytes 10,735,0.151,76.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,106,0.219,18.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,338,0.15,51.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,313,0.147,18.0,291,7,2.41,2.66 (1.67-3.66),284,97.59,4.37 (4.15-4.60)
da neurons 6,518,0.135,74.0,122,16,13.11,1.93 (1.15-2.71),106,86.89,4.29 (3.90-4.69)
astrocytes microglia 23,255,0.24,34.0,57,3,5.26,2.24 (1.89-2.59),54,94.74,2.68 (2.30-3.06)
astrocytes 4,752,0.138,28.0,96,5,5.21,2.24 (1.90-2.57),91,94.79,3.36 (3.02-3.71)
oligodendrocytes 0,613,0.169,72.0,127,18,14.17,2.44 (2.03-2.85),109,85.83,3.23 (2.71-3.74)
microglia 1,1615,0.114,58.0,161,38,23.6,1.77 (1.45-2.09),123,76.4,3.86 (3.58-4.13)
oligodendrocytes 3,743,0.098,70.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528,0.174,33.0,175,12,6.86,3.86 (3.20-4.52),163,93.14,4.42 (4.05-4.79)
