tipo_celular,module_size,UBE2H_MM,UBE2H_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.21,60.0,102,18,17.65,2.75 (2.22-3.29),84,82.35,3.67 (3.25-4.09)
T cells 18,477,0.211,78.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423,0.245,86.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,666,0.368,94.0,127,1,0.79,NA,126,99.21,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,714,0.169,44.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91)
GLU like neurons 17,1247,0.077,13.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,140,0.357,89.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,238,0.111,16.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,412,0.264,81.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,233,0.212,60.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,1300,0.247,68.0,306,6,1.96,2.45 (1.47-3.43),300,98.04,5.17 (4.91-5.43)
astrocytes 8,577,0.171,86.0,83,3,3.61,2.89 (2.52-3.25),80,96.39,3.27 (2.80-3.74)
oligodendrocyte progenitor cells 12,218,0.395,92.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA
oligodendrocytes 10,2107,0.062,9.0,358,40,11.17,2.46 (1.93-2.99),318,88.83,4.06 (3.86-4.25)
connective tissue cells 21,111,0.235,26.0,26,9,34.62,3.36 (2.88-3.84),17,65.38,2.17 (1.30-3.03)
astrocytes 15,1768,0.099,62.0,105,20,19.05,2.48 (1.92-3.04),85,80.95,3.40 (3.02-3.79)
oligodendrocytes 16,123,0.132,5.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,553,0.141,59.0,124,14,11.29,3.48 (2.20-4.76),110,88.71,4.24 (3.83-4.65)
astrocytes microglia 23,327,0.302,40.0,120,6,5.0,1.32 (0.33-2.30),114,95.0,3.76 (3.47-4.05)
astrocytes 4,514,0.31,88.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,1186,0.151,62.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00)
microglia 1,480,0.307,86.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,1003,0.131,77.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65)
oligodendrocytes 2,804,0.199,89.0,84,24,28.57,3.21 (2.61-3.82),60,71.43,2.48 (2.09-2.87)
