tipo_celular,module_size,PACSIN2_MM,PACSIN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.192,63.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,610,0.145,45.0,98,23,23.47,2.05 (1.49-2.62),75,76.53,3.45 (3.11-3.79)
astrocytes 5,932,0.083,12.0,80,2,2.5,4.83 (4.31-5.36),78,97.5,3.64 (3.22-4.05)
oligodendrocyte progenitor cells 7,4285,0.154,78.0,353,41,11.61,2.24 (1.85-2.64),312,88.39,4.15 (3.96-4.34)
GABA neurons expressing GLU receptors 22,203,0.231,38.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,229,0.191,45.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,853,0.157,66.0,133,21,15.79,2.39 (1.66-3.12),112,84.21,3.44 (3.10-3.78)
GABA neurons expressing GABA receptors 13,200,0.102,10.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81)
endothelial cells 9,586,0.235,55.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,938,0.033,5.0,169,27,15.98,3.05 (2.54-3.57),142,84.02,3.56 (3.32-3.80)
GABA like neurons 14,2090,0.182,70.0,74,2,2.7,NA,72,97.3,2.94 (2.57-3.32)
astrocytes 8,1266,0.066,32.0,66,28,42.42,2.27 (1.71-2.84),38,57.58,4.02 (3.58-4.47)
oligodendrocyte progenitor cells 12,3303,0.131,94.0,276,28,10.14,2.41 (1.97-2.84),248,89.86,3.68 (3.45-3.91)
oligodendrocytes 10,2107,0.134,45.0,358,36,10.06,1.94 (1.52-2.37),322,89.94,4.12 (3.94-4.31)
connective tissue cells 21,91,0.297,60.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,1401,0.085,49.0,96,16,16.67,3.55 (2.79-4.32),80,83.33,3.62 (3.11-4.14)
oligodendrocytes 16,91,0.173,20.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307,0.081,15.0,95,3,3.16,3.99 (3.84-4.13),92,96.84,4.88 (4.43-5.34)
astrocytes microglia 23,253,0.317,87.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,787,0.116,5.0,65,2,3.08,2.85 (NA-NA),63,96.92,2.96 (2.56-3.37)
oligodendrocytes 0,2078,0.094,13.0,238,6,2.52,2.28 (1.05-3.51),232,97.48,3.67 (3.45-3.89)
microglia 1,813,0.176,88.0,79,6,7.59,2.88 (2.23-3.52),73,92.41,3.12 (2.69-3.56)
oligodendrocytes 3,94,0.049,11.0,7,3,42.86,NA,4,57.14,5.62 (2.52-8.73)
oligodendrocytes 2,1630,0.12,14.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
