tipo_celular,module_size,CDC27_MM,CDC27_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.074,4.0,19,1,5.26,4.44 (NA-NA),18,94.74,2.41 (1.69-3.14)
T cells 18,624,0.164,60.0,142,16,11.27,3.85 (3.52-4.17),126,88.73,3.13 (2.83-3.42)
astrocytes 5,1141,0.097,11.0,166,39,23.49,2.85 (2.40-3.29),127,76.51,3.58 (3.29-3.88)
oligodendrocyte progenitor cells 7,4285,0.166,91.0,353,57,16.15,2.59 (2.21-2.98),296,83.85,4.20 (4.01-4.39)
GABA neurons expressing GLU receptors 22,1069,0.191,69.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316,0.112,39.0,101,4,3.96,3.66 (2.84-4.48),97,96.04,3.02 (2.66-3.39)
da like neurons 11,853,0.162,69.0,133,19,14.29,1.61 (1.12-2.11),114,85.71,3.59 (3.26-3.91)
GABA neurons expressing GABA receptors 13,75,0.128,25.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,1653,0.178,82.0,297,21,7.07,3.90 (3.58-4.22),276,92.93,3.65 (3.44-3.87)
oligodendrocytes 20,403,0.291,93.0,18,11,61.11,1.19 (0.56-1.82),7,38.89,2.96 (1.92-4.00)
GABA like neurons 14,1300,0.188,41.0,306,12,3.92,2.06 (1.27-2.85),294,96.08,5.26 (5.01-5.52)
astrocytes 8,1266,0.071,38.0,66,25,37.88,2.05 (1.50-2.59),41,62.12,4.02 (3.59-4.45)
oligodendrocyte progenitor cells 12,3303,0.072,42.0,276,46,16.67,2.85 (2.43-3.26),230,83.33,3.71 (3.47-3.96)
oligodendrocytes 10,2107,0.131,44.0,358,65,18.16,2.57 (2.22-2.92),293,81.84,4.25 (4.05-4.45)
connective tissue cells 21,116,0.258,35.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,443,0.097,11.0,9,7,77.78,3.73 (2.40-5.05),2,22.22,1.89 (-1.31-5.09)
oligodendrocytes 16,88,0.168,25.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.115,55.0,122,20,16.39,2.44 (1.79-3.10),102,83.61,4.41 (3.99-4.83)
astrocytes microglia 23,190,0.285,63.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,721,0.135,20.0,61,9,14.75,3.60 (2.89-4.31),52,85.25,2.85 (2.38-3.31)
oligodendrocytes 0,1186,0.152,63.0,300,15,5.0,3.94 (3.63-4.26),285,95.0,3.78 (3.57-4.00)
microglia 1,958,0.121,64.0,290,15,5.17,2.44 (1.77-3.12),275,94.83,3.90 (3.67-4.14)
oligodendrocytes 3,1003,0.071,21.0,111,1,0.9,4.17 (NA-NA),110,99.1,3.29 (2.95-3.64)
oligodendrocytes 2,804,0.144,42.0,84,30,35.71,3.16 (2.63-3.69),54,64.29,2.37 (1.96-2.78)
