tipo_celular,module_size,LINGO1_MM,LINGO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.146,28.0,98,4,4.08,2.52 (0.68-4.35),94,95.92,3.26 (2.77-3.74)
T cells 18,506,0.221,61.0,225,4,1.78,2.52 (0.68-4.35),221,98.22,3.64 (3.39-3.89)
astrocytes 5,328,0.187,60.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,448,0.297,90.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,487,0.19,41.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,1247,0.244,93.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,1220,0.169,46.0,410,3,0.73,2.92 (0.59-5.26),407,99.27,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,417,0.221,80.0,213,5,2.35,2.40 (0.96-3.84),208,97.65,3.79 (3.54-4.04)
endothelial cells 9,916,0.228,56.0,302,3,0.99,3.17 (1.32-5.02),299,99.01,3.99 (3.76-4.22)
oligodendrocytes 20,271,0.122,21.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.098,8.0,455,3,0.66,2.92 (0.59-5.26),452,99.34,4.35 (4.17-4.54)
astrocytes 8,603,0.245,94.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,143,0.455,70.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,735,0.116,61.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,104,0.357,84.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1768,0.147,90.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,90,0.164,20.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,729,0.236,84.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,137,0.268,18.0,188,3,1.6,2.92 (0.59-5.26),185,98.4,4.38 (4.03-4.72)
astrocytes 4,208,0.321,82.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10)
oligodendrocytes 0,546,0.189,61.0,252,5,1.98,2.40 (0.96-3.84),247,98.02,4.13 (3.88-4.39)
microglia 1,406,0.173,47.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,32,0.125,23.0,81,0,0.0,NA,81,100.0,4.04 (3.74-4.34)
oligodendrocytes 2,526,0.162,18.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
