tipo_celular,module_size,AKAP11_MM,AKAP11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.203,47.0,21,9,42.86,1.13 (0.54-1.72),12,57.14,3.26 (2.67-3.85)
T cells 18,477,0.168,54.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.13,48.0,166,11,6.63,1.54 (0.98-2.11),155,93.37,3.54 (3.28-3.79)
oligodendrocyte progenitor cells 7,4285,0.124,32.0,353,24,6.8,1.88 (1.35-2.41),329,93.2,4.07 (3.89-4.26)
GABA neurons expressing GLU receptors 22,848,0.223,55.0,262,5,1.91,0.68 (0.05-1.31),257,98.09,4.22 (3.97-4.46)
GLU like neurons 17,300,0.181,42.0,16,4,25.0,2.46 (2.14-2.78),12,75.0,1.93 (0.74-3.12)
da like neurons 11,1220,0.098,14.0,410,5,1.22,2.49 (1.00-3.98),405,98.78,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,200,0.158,54.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,338,0.103,33.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,271,0.083,11.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.146,23.0,455,16,3.52,1.87 (1.16-2.57),439,96.48,4.47 (4.29-4.65)
astrocytes 8,218,0.13,61.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303,0.06,26.0,276,14,5.07,1.71 (1.31-2.11),262,94.93,3.65 (3.43-3.87)
oligodendrocytes 10,806,0.174,55.0,261,2,0.77,1.64 (0.95-2.34),259,99.23,4.39 (4.15-4.63)
connective tissue cells 21,111,0.197,6.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1768,0.138,88.0,105,10,9.52,2.05 (1.34-2.75),95,90.48,3.35 (2.99-3.70)
oligodendrocytes 16,123,0.155,14.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,553,0.282,95.0,124,3,2.42,0.40 (NA-NA),121,97.58,4.23 (3.84-4.61)
astrocytes microglia 23,96,0.243,8.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,787,0.151,50.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.135,43.0,127,5,3.94,3.28 (2.83-3.73),122,96.06,3.04 (2.60-3.48)
microglia 1,1615,0.1,36.0,161,18,11.18,1.56 (0.99-2.13),143,88.82,3.53 (3.26-3.79)
oligodendrocytes 3,457,0.079,27.0,345,6,1.74,2.79 (1.98-3.59),339,98.26,4.31 (4.10-4.52)
oligodendrocytes 2,528,0.184,39.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75)
