tipo_celular,module_size,SNX2_MM,SNX2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.21,72.0,32,4,12.5,3.97 (2.23-5.70),28,87.5,3.69 (2.84-4.55)
T cells 18,610,0.142,42.0,98,18,18.37,2.43 (1.41-3.44),80,81.63,3.30 (3.01-3.59)
astrocytes 5,1656,0.119,56.0,136,2,1.47,3.71 (2.16-5.26),134,98.53,3.20 (2.93-3.47)
oligodendrocyte progenitor cells 7,4285,0.155,80.0,353,25,7.08,2.26 (1.52-3.00),328,92.92,4.05 (3.87-4.23)
GABA neurons expressing GLU receptors 22,848,0.179,37.0,262,24,9.16,3.71 (2.82-4.60),238,90.84,4.22 (3.97-4.47)
GLU like neurons 17,489,0.123,39.0,42,5,11.9,6.62 (4.62-8.61),37,88.1,5.87 (5.32-6.42)
da like neurons 11,71,0.339,72.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,65,0.12,21.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,1653,0.1,27.0,297,4,1.35,6.21 (4.87-7.55),293,98.65,3.64 (3.44-3.84)
oligodendrocytes 20,298,0.247,83.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402,0.127,17.0,455,26,5.71,2.55 (1.97-3.13),429,94.29,4.50 (4.31-4.68)
astrocytes 8,727,0.118,57.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,1049,0.068,32.0,235,10,4.26,3.40 (2.88-3.92),225,95.74,3.85 (3.60-4.09)
oligodendrocytes 10,2107,0.096,27.0,358,21,5.87,2.27 (1.39-3.16),337,94.13,4.00 (3.81-4.18)
connective tissue cells 21,111,0.279,49.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1768,0.052,15.0,105,11,10.48,1.93 (1.18-2.69),94,89.52,3.38 (3.02-3.73)
oligodendrocytes 16,71,0.115,13.0,1,0,0.0,NA,1,100.0,3.52 (NA-NA)
da neurons 6,518,0.098,36.0,122,28,22.95,2.65 (1.81-3.49),94,77.05,4.54 (4.17-4.90)
astrocytes microglia 23,83,0.267,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.137,36.0,104,9,8.65,1.96 (0.97-2.96),95,91.35,2.95 (2.67-3.24)
oligodendrocytes 0,613,0.128,36.0,127,3,2.36,2.74 (2.35-3.14),124,97.64,3.06 (2.63-3.48)
microglia 1,1615,0.121,66.0,161,14,8.7,1.39 (0.69-2.09),147,91.3,3.50 (3.23-3.76)
oligodendrocytes 3,743,0.087,58.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.173,93.0,200,7,3.5,3.00 (2.10-3.90),193,96.5,3.65 (3.38-3.92)
