tipo_celular,module_size,TNRC6B_MM,TNRC6B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.241,54.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,388,0.167,59.0,84,4,4.76,2.26 (2.13-2.40),80,95.24,3.01 (2.67-3.35)
astrocytes 5,222,0.231,62.0,98,2,2.04,1.43 (0.17-2.69),96,97.96,4.68 (4.28-5.08)
oligodendrocyte progenitor cells 7,436,0.133,53.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,203,0.158,11.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1247,0.111,33.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853,0.263,94.0,133,41,30.83,2.09 (1.71-2.46),92,69.17,3.92 (3.56-4.28)
GABA neurons expressing GABA receptors 13,288,0.141,34.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,1653,0.267,100.0,297,3,1.01,5.64 (5.34-5.94),294,98.99,3.65 (3.44-3.85)
oligodendrocytes 20,676,0.407,68.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,1300,0.162,28.0,306,8,2.61,1.75 (0.92-2.59),298,97.39,5.23 (4.97-5.48)
astrocytes 8,279,0.237,33.0,78,3,3.85,2.13 (1.70-2.56),75,96.15,4.42 (4.00-4.83)
oligodendrocyte progenitor cells 12,411,0.311,74.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,236,0.194,5.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,114,0.194,18.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61)
astrocytes 15,418,0.497,90.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,287,0.34,59.0,105,5,4.76,1.31 (0.80-1.82),100,95.24,5.36 (4.96-5.77)
da neurons 6,398,0.192,65.0,138,18,13.04,2.65 (1.85-3.45),120,86.96,5.22 (4.86-5.58)
astrocytes microglia 23,122,0.153,5.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,251,0.121,15.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,261,0.114,12.0,42,8,19.05,1.36 (1.04-1.68),34,80.95,4.96 (4.41-5.52)
microglia 1,315,0.262,84.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,127,0.187,22.0,45,3,6.67,1.55 (0.78-2.31),42,93.33,4.68 (3.83-5.53)
oligodendrocytes 2,407,0.118,12.0,122,48,39.34,2.08 (1.76-2.41),74,60.66,4.58 (4.09-5.07)
