tipo_celular,module_size,PNISR_MM,PNISR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.181,67.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,388,0.044,2.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,222,0.121,14.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00)
oligodendrocyte progenitor cells 7,628,0.084,2.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43)
GABA neurons expressing GLU receptors 22,192,0.392,93.0,55,1,1.82,NA,54,98.18,4.03 (3.61-4.44)
GLU like neurons 17,1247,0.173,74.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,853,0.19,80.0,133,13,9.77,1.66 (1.00-2.31),120,90.23,3.44 (3.12-3.77)
GABA neurons expressing GABA receptors 13,288,0.255,77.0,93,3,3.23,3.45 (1.64-5.26),90,96.77,5.22 (4.72-5.73)
endothelial cells 9,1653,0.19,86.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676,0.698,96.0,110,3,2.73,4.78 (3.76-5.80),107,97.27,5.00 (4.54-5.46)
GABA like neurons 14,1300,0.228,60.0,306,8,2.61,3.24 (2.10-4.38),298,97.39,5.15 (4.88-5.41)
astrocytes 8,279,0.234,31.0,78,2,2.56,2.53 (2.34-2.73),76,97.44,4.37 (3.95-4.79)
oligodendrocyte progenitor cells 12,254,0.184,27.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22)
oligodendrocytes 10,236,0.295,10.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,104,0.105,0.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,418,0.418,84.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,153,0.43,79.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.261,81.0,138,9,6.52,2.71 (1.43-3.98),129,93.48,4.98 (4.61-5.35)
astrocytes microglia 23,166,0.312,60.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,255,0.186,60.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,261,0.182,47.0,42,2,4.76,2.72 (-0.30-5.74),40,95.24,4.15 (3.44-4.86)
microglia 1,315,0.213,70.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,116,0.281,60.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05)
oligodendrocytes 2,407,0.176,70.0,122,15,12.3,1.58 (0.98-2.17),107,87.7,3.66 (3.25-4.06)
