tipo_celular,module_size,GTF2A1_MM,GTF2A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.154,37.0,15,1,6.67,NA,14,93.33,5.79 (5.09-6.49)
T cells 18,624,0.128,29.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656,0.156,97.0,136,10,7.35,2.78 (1.75-3.81),126,92.65,3.25 (2.97-3.53)
oligodendrocyte progenitor cells 7,4285,0.18,98.0,353,61,17.28,1.99 (1.75-2.24),292,82.72,4.40 (4.23-4.58)
GABA neurons expressing GLU receptors 22,567,0.16,36.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316,0.165,81.0,101,2,1.98,2.85 (NA-NA),99,98.02,3.05 (2.70-3.41)
da like neurons 11,1220,0.066,3.0,410,8,1.95,2.27 (1.49-3.05),402,98.05,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,65,0.119,18.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,586,0.089,15.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,322,0.015,0.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052,0.222,97.0,125,5,4.0,3.70 (3.13-4.26),120,96.0,3.34 (3.01-3.67)
astrocytes 8,577,0.057,24.0,83,5,6.02,2.10 (0.92-3.27),78,93.98,3.32 (2.86-3.79)
oligodendrocyte progenitor cells 12,3303,0.06,26.0,276,50,18.12,2.05 (1.83-2.26),226,81.88,3.98 (3.75-4.22)
oligodendrocytes 10,806,0.083,19.0,261,2,0.77,3.06 (2.73-3.39),259,99.23,4.38 (4.13-4.62)
connective tissue cells 21,126,0.275,51.0,7,4,57.14,1.96 (0.72-3.19),3,42.86,0.60 (-0.07-1.26)
astrocytes 15,1768,0.069,32.0,105,21,20.0,1.54 (1.23-1.85),84,80.0,3.67 (3.32-4.03)
oligodendrocytes 16,81,0.214,67.0,1,1,100.0,NA,0,0.0,NA
da neurons 6,553,0.112,37.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,54,0.284,19.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.132,28.0,104,28,26.92,1.68 (1.37-1.99),76,73.08,3.35 (3.04-3.66)
oligodendrocytes 0,2078,0.136,90.0,238,14,5.88,2.39 (1.99-2.78),224,94.12,3.73 (3.50-3.96)
microglia 1,958,0.104,39.0,290,13,4.48,2.19 (1.60-2.78),277,95.52,3.90 (3.67-4.14)
oligodendrocytes 3,1003,0.071,22.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,1630,0.146,60.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
