tipo_celular,module_size,ATP2B4_MM,ATP2B4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.207,47.0,18,1,5.56,4.08 (NA-NA),17,94.44,1.92 (1.48-2.35)
T cells 18,282,0.194,66.0,12,1,8.33,4.91 (NA-NA),11,91.67,3.16 (1.97-4.34)
astrocytes 5,222,0.173,34.0,98,10,10.2,3.41 (2.52-4.30),88,89.8,4.76 (4.33-5.20)
oligodendrocyte progenitor cells 7,436,0.086,21.0,219,37,16.89,4.30 (3.84-4.76),182,83.11,5.43 (5.10-5.75)
GABA neurons expressing GLU receptors 22,459,0.158,51.0,165,37,22.42,3.56 (3.13-3.99),128,77.58,5.68 (5.30-6.06)
GLU like neurons 17,685,0.271,88.0,135,46,34.07,2.82 (2.37-3.27),89,65.93,3.42 (3.02-3.82)
da like neurons 11,101,0.154,35.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,265,0.151,45.0,78,13,16.67,4.29 (3.27-5.30),65,83.33,4.38 (3.92-4.83)
endothelial cells 9,303,0.242,67.0,54,10,18.52,5.66 (4.85-6.47),44,81.48,4.57 (3.82-5.33)
oligodendrocytes 20,279,0.263,68.0,16,2,12.5,3.83 (3.16-4.50),14,87.5,2.16 (1.37-2.96)
GABA like neurons 14,1300,0.216,55.0,306,79,25.82,3.96 (3.54-4.38),227,74.18,5.72 (5.43-6.00)
astrocytes 8,279,0.362,92.0,78,32,41.03,3.69 (3.16-4.22),46,58.97,4.85 (4.28-5.42)
oligodendrocyte progenitor cells 12,254,0.369,75.0,37,16,43.24,3.34 (2.92-3.76),21,56.76,5.73 (5.04-6.42)
oligodendrocytes 10,2107,0.072,14.0,358,70,19.55,2.29 (1.99-2.59),288,80.45,4.39 (4.21-4.58)
connective tissue cells 21,136,0.23,20.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,418,0.346,77.0,54,24,44.44,3.38 (3.01-3.74),30,55.56,3.94 (3.20-4.68)
oligodendrocytes 16,81,0.135,9.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,448,0.137,78.0,43,4,9.3,3.79 (3.71-3.88),39,90.7,3.21 (2.63-3.80)
astrocytes microglia 23,122,0.137,2.0,46,3,6.52,4.87 (4.47-5.28),43,93.48,5.04 (4.44-5.64)
astrocytes 4,251,0.061,0.0,34,4,11.76,3.10 (1.93-4.26),30,88.24,5.66 (5.11-6.21)
oligodendrocytes 0,479,0.157,57.0,40,4,10.0,4.41 (3.90-4.93),36,90.0,6.07 (5.53-6.61)
microglia 1,813,0.119,54.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854,0.156,93.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,348,0.129,13.0,114,25,21.93,4.17 (3.72-4.62),89,78.07,5.51 (4.99-6.03)
