tipo_celular,module_size,SIK2_MM,SIK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.168,39.0,102,17,16.67,2.20 (1.57-2.83),85,83.33,3.77 (3.38-4.17)
T cells 18,727,0.142,49.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,423,0.263,90.0,80,12,15.0,4.79 (3.71-5.86),68,85.0,3.14 (2.64-3.64)
oligodendrocyte progenitor cells 7,666,0.301,92.0,127,18,14.17,3.06 (2.43-3.70),109,85.83,4.04 (3.65-4.42)
GABA neurons expressing GLU receptors 22,599,0.285,81.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08)
GLU like neurons 17,637,0.191,61.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51)
da like neurons 11,408,0.086,15.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,101,0.156,44.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,586,0.374,77.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,322,0.15,63.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52)
GABA like neurons 14,1300,0.196,45.0,306,26,8.5,3.16 (2.55-3.78),280,91.5,5.37 (5.11-5.64)
astrocytes 8,577,0.185,90.0,83,8,9.64,3.70 (2.42-4.98),75,90.36,3.19 (2.71-3.67)
oligodendrocyte progenitor cells 12,708,0.105,46.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,130,0.137,9.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104,0.25,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261,0.091,17.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,88,0.199,55.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398,0.115,31.0,138,19,13.77,2.61 (1.97-3.25),119,86.23,5.25 (4.89-5.62)
astrocytes microglia 23,327,0.152,2.0,120,40,33.33,2.84 (2.40-3.28),80,66.67,4.14 (3.78-4.49)
astrocytes 4,514,0.308,87.0,95,15,15.79,2.68 (2.06-3.31),80,84.21,3.55 (3.05-4.04)
oligodendrocytes 0,1186,0.189,97.0,300,13,4.33,4.47 (3.67-5.27),287,95.67,3.75 (3.54-3.97)
microglia 1,480,0.15,30.0,163,12,7.36,3.32 (2.74-3.90),151,92.64,3.74 (3.46-4.03)
oligodendrocytes 3,681,0.145,85.0,87,9,10.34,1.05 (0.69-1.42),78,89.66,2.78 (2.51-3.05)
oligodendrocytes 2,407,0.159,56.0,122,14,11.48,0.83 (0.60-1.07),108,88.52,3.76 (3.38-4.14)
