tipo_celular,module_size,USO1_MM,USO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.183,70.0,71,9,12.68,3.08 (1.84-4.33),62,87.32,2.56 (2.12-3.00)
T cells 18,610,0.13,33.0,98,24,24.49,2.25 (1.70-2.81),74,75.51,3.44 (3.09-3.80)
astrocytes 5,1141,0.114,27.0,166,12,7.23,1.84 (1.06-2.63),154,92.77,3.53 (3.27-3.78)
oligodendrocyte progenitor cells 7,4285,0.176,96.0,353,48,13.6,2.61 (2.21-3.02),305,86.4,4.16 (3.96-4.35)
GABA neurons expressing GLU receptors 22,599,0.087,2.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,637,0.173,56.0,91,15,16.48,1.75 (0.99-2.51),76,83.52,5.34 (4.90-5.78)
da like neurons 11,153,0.193,37.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,73,0.158,48.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,1653,0.08,14.0,297,2,0.67,4.85 (NA-NA),295,99.33,3.67 (3.46-3.87)
oligodendrocytes 20,250,0.169,45.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052,0.226,98.0,125,2,1.6,4.56 (NA-NA),123,98.4,3.34 (3.02-3.67)
astrocytes 8,727,0.142,70.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.082,54.0,276,32,11.59,2.88 (2.43-3.32),244,88.41,3.65 (3.41-3.89)
oligodendrocytes 10,735,0.091,47.0,277,1,0.36,5.02 (NA-NA),276,99.64,3.89 (3.64-4.13)
connective tissue cells 21,110,0.192,13.0,13,1,7.69,3.69 (NA-NA),12,92.31,3.07 (2.17-3.96)
astrocytes 15,1768,0.165,96.0,105,22,20.95,2.42 (1.92-2.92),83,79.05,3.44 (3.05-3.84)
oligodendrocytes 16,74,0.187,47.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.077,13.0,122,33,27.05,2.53 (2.12-2.94),89,72.95,4.75 (4.30-5.21)
astrocytes microglia 23,45,0.24,19.0,8,0,0.0,NA,8,100.0,NA
astrocytes 4,787,0.166,76.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.119,15.0,300,3,1.0,3.64 (0.55-6.72),297,99.0,3.79 (3.59-4.00)
microglia 1,813,0.161,83.0,79,8,10.13,3.12 (2.53-3.71),71,89.87,3.10 (2.65-3.55)
oligodendrocytes 3,639,0.077,34.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,804,0.121,14.0,84,7,8.33,2.25 (0.82-3.67),77,91.67,2.73 (2.39-3.07)
