tipo_celular,module_size,INO80D_MM,INO80D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.118,6.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,477,0.038,0.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,328,0.043,0.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,200,0.036,0.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,203,0.207,31.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1247,0.23,91.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,109,0.08,1.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,417,0.075,1.0,213,17,7.98,1.24 (0.83-1.66),196,92.02,4.05 (3.82-4.28)
endothelial cells 9,658,0.048,1.0,120,8,6.67,2.65 (2.19-3.11),112,93.33,4.77 (4.45-5.09)
oligodendrocytes 20,233,0.095,10.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,1300,0.12,14.0,306,14,4.58,2.26 (1.56-2.96),292,95.42,5.30 (5.04-5.55)
astrocytes 8,47,0.138,57.0,76,0,0.0,NA,76,100.0,4.02 (3.72-4.33)
oligodendrocyte progenitor cells 12,1049,0.038,7.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,2107,0.073,14.0,358,77,21.51,2.35 (2.08-2.61),281,78.49,4.48 (4.29-4.67)
connective tissue cells 21,118,0.174,2.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,1768,0.157,93.0,105,16,15.24,1.51 (1.17-1.84),89,84.76,3.55 (3.20-3.90)
oligodendrocytes 16,69,0.15,14.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,729,0.102,23.0,182,5,2.75,1.47 (1.37-1.56),177,97.25,3.71 (3.46-3.96)
astrocytes microglia 23,255,0.286,71.0,57,6,10.53,2.73 (2.22-3.24),51,89.47,2.64 (2.24-3.04)
astrocytes 4,208,0.099,1.0,173,1,0.58,2.27 (NA-NA),172,99.42,3.81 (3.51-4.11)
oligodendrocytes 0,1186,0.079,1.0,300,22,7.33,3.65 (3.22-4.07),278,92.67,3.81 (3.59-4.03)
microglia 1,813,0.045,0.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,32,0.187,36.0,81,0,0.0,NA,81,100.0,4.04 (3.74-4.34)
oligodendrocytes 2,407,0.13,23.0,122,46,37.7,1.92 (1.67-2.17),76,62.3,4.63 (4.15-5.10)
