tipo_celular,module_size,PHF14_MM,PHF14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.177,60.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,610,0.104,16.0,98,23,23.47,1.60 (1.09-2.11),75,76.53,3.66 (3.36-3.95)
astrocytes 5,1141,0.194,99.0,166,30,18.07,2.22 (1.77-2.68),136,81.93,3.72 (3.45-3.98)
oligodendrocyte progenitor cells 7,436,0.075,15.0,219,11,5.02,3.74 (3.05-4.42),208,94.98,5.33 (5.03-5.63)
GABA neurons expressing GLU receptors 22,714,0.134,21.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,489,0.098,22.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,140,0.298,72.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,73,0.156,44.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,1653,0.126,49.0,297,4,1.35,3.60 (0.54-6.66),293,98.65,3.67 (3.47-3.88)
oligodendrocytes 20,298,0.187,66.0,6,2,33.33,NA,4,66.67,0.26 (NA-NA)
GABA like neurons 14,1300,0.202,48.0,306,25,8.17,2.83 (2.32-3.34),281,91.83,5.41 (5.14-5.67)
astrocytes 8,283,0.227,88.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,254,0.279,49.0,37,12,32.43,3.07 (2.69-3.44),25,67.57,5.40 (4.76-6.04)
oligodendrocytes 10,2107,0.293,88.0,358,57,15.92,2.16 (1.82-2.50),301,84.08,4.31 (4.12-4.49)
connective tissue cells 21,112,0.262,63.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06)
astrocytes 15,261,0.164,58.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,86,0.204,66.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398,0.11,27.0,138,20,14.49,2.44 (1.89-2.99),118,85.51,5.32 (4.96-5.68)
astrocytes microglia 23,253,0.293,75.0,47,10,21.28,3.03 (2.25-3.80),37,78.72,2.79 (2.42-3.15)
astrocytes 4,752,0.203,98.0,96,11,11.46,2.68 (2.12-3.24),85,88.54,3.39 (3.02-3.76)
oligodendrocytes 0,1186,0.148,57.0,300,16,5.33,3.63 (3.17-4.08),284,94.67,3.80 (3.59-4.02)
microglia 1,813,0.147,77.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854,0.139,88.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804,0.123,16.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12)
