tipo_celular,module_size,KDM5B_MM,KDM5B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.134,26.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,610,0.182,72.0,98,32,32.65,2.07 (1.59-2.55),66,67.35,3.72 (3.39-4.04)
astrocytes 5,1141,0.072,1.0,166,41,24.7,2.55 (2.15-2.95),125,75.3,3.75 (3.46-4.04)
oligodendrocyte progenitor cells 7,4285,0.133,48.0,353,60,17.0,2.26 (1.94-2.58),293,83.0,4.35 (4.17-4.53)
GABA neurons expressing GLU receptors 22,487,0.165,27.0,73,7,9.59,2.01 (0.97-3.04),66,90.41,2.85 (2.44-3.26)
GLU like neurons 17,300,0.21,70.0,16,6,37.5,3.11 (2.19-4.02),10,62.5,1.31 (0.24-2.38)
da like neurons 11,142,0.318,76.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,67,0.161,38.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,586,0.078,10.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,330,0.11,23.0,36,16,44.44,2.06 (1.76-2.36),20,55.56,1.79 (1.19-2.40)
GABA like neurons 14,3052,0.149,59.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520,0.039,6.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,3303,0.041,8.0,276,44,15.94,2.20 (1.89-2.52),232,84.06,3.90 (3.66-4.13)
oligodendrocytes 10,2107,0.174,60.0,358,70,19.55,2.33 (2.02-2.64),288,80.45,4.41 (4.23-4.59)
connective tissue cells 21,139,0.271,29.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1401,0.076,41.0,96,5,5.21,2.55 (1.47-3.62),91,94.79,3.68 (3.21-4.15)
oligodendrocytes 16,156,0.217,63.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,729,0.112,31.0,182,6,3.3,1.48 (1.40-1.56),176,96.7,3.73 (3.48-3.98)
astrocytes microglia 23,125,0.351,75.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.145,39.0,61,3,4.92,2.88 (0.64-5.12),58,95.08,2.97 (2.55-3.39)
oligodendrocytes 0,2078,0.121,64.0,238,17,7.14,3.11 (2.47-3.76),221,92.86,3.68 (3.45-3.92)
microglia 1,1615,0.07,4.0,161,53,32.92,2.21 (1.87-2.56),108,67.08,3.98 (3.69-4.28)
oligodendrocytes 3,457,0.045,5.0,345,4,1.16,2.04 (1.69-2.38),341,98.84,4.31 (4.10-4.52)
oligodendrocytes 2,1630,0.121,15.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
