tipo_celular,module_size,CLCN3_MM,CLCN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.162,23.0,21,7,33.33,1.20 (0.05-2.34),14,66.67,2.89 (2.36-3.43)
T cells 18,610,0.123,27.0,98,11,11.22,1.49 (0.58-2.40),87,88.78,3.35 (3.05-3.66)
astrocytes 5,423,0.364,97.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,296,0.14,24.0,251,10,3.98,3.21 (2.68-3.74),241,96.02,4.10 (3.86-4.35)
GABA neurons expressing GLU receptors 22,848,0.282,72.0,262,30,11.45,3.16 (2.61-3.72),232,88.55,4.29 (4.03-4.56)
GLU like neurons 17,1316,0.114,42.0,101,2,1.98,3.33 (3.24-3.42),99,98.02,3.04 (2.69-3.40)
da like neurons 11,87,0.269,48.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,357,0.093,11.0,237,26,10.97,4.23 (3.95-4.52),211,89.03,4.43 (4.17-4.69)
endothelial cells 9,338,0.138,53.0,191,28,14.66,3.73 (3.43-4.03),163,85.34,3.92 (3.65-4.18)
oligodendrocytes 20,221,0.126,18.0,12,4,33.33,5.86 (5.64-6.08),8,66.67,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.233,51.0,455,38,8.35,3.27 (2.68-3.86),417,91.65,4.47 (4.27-4.66)
astrocytes 8,577,0.173,87.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303,0.122,90.0,276,10,3.62,2.49 (1.86-3.12),266,96.38,3.59 (3.37-3.82)
oligodendrocytes 10,806,0.277,75.0,261,40,15.33,3.86 (3.46-4.25),221,84.67,4.48 (4.20-4.76)
connective tissue cells 21,139,0.176,3.0,6,1,16.67,NA,5,83.33,1.24 (-0.25-2.73)
astrocytes 15,1401,0.045,12.0,96,2,2.08,2.11 (1.89-2.34),94,97.92,3.65 (3.19-4.11)
oligodendrocytes 16,313,0.154,22.0,291,51,17.53,3.48 (3.20-3.75),240,82.47,4.55 (4.29-4.81)
da neurons 6,518,0.154,83.0,122,20,16.39,1.91 (1.45-2.38),102,83.61,4.56 (4.16-4.95)
astrocytes microglia 23,61,0.301,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.469,97.0,95,3,3.16,2.51 (-0.87-5.88),92,96.84,3.39 (2.97-3.82)
oligodendrocytes 0,613,0.131,39.0,127,1,0.79,NA,126,99.21,3.05 (2.64-3.46)
microglia 1,214,0.098,14.0,227,23,10.13,3.48 (3.06-3.90),204,89.87,4.18 (3.92-4.43)
oligodendrocytes 3,743,0.095,67.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528,0.199,50.0,175,25,14.29,3.67 (3.23-4.12),150,85.71,4.55 (4.13-4.96)
