tipo_celular,module_size,UBE2Z_MM,UBE2Z_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.259,77.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,518,0.129,30.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656,0.065,2.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.118,25.0,353,26,7.37,1.96 (1.44-2.47),327,92.63,4.07 (3.88-4.25)
GABA neurons expressing GLU receptors 22,823,0.194,60.0,23,2,8.7,3.50 (2.95-4.05),21,91.3,2.26 (1.47-3.05)
GLU like neurons 17,685,0.094,24.0,135,15,11.11,3.18 (2.26-4.09),120,88.89,3.19 (2.87-3.52)
da like neurons 11,408,0.085,14.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27)
GABA neurons expressing GABA receptors 13,93,0.13,25.0,2,2,100.0,NA,0,0.0,NA
endothelial cells 9,385,0.071,15.0,275,27,9.82,2.60 (1.96-3.24),248,90.18,4.18 (3.90-4.45)
oligodendrocytes 20,253,0.156,48.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.112,12.0,455,13,2.86,1.41 (0.78-2.03),442,97.14,4.46 (4.28-4.64)
astrocytes 8,520,0.064,21.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,708,0.123,55.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,483,0.049,10.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,116,0.462,98.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,418,0.032,11.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,74,0.168,33.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.048,1.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,140,0.307,52.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807,0.148,57.0,104,14,13.46,2.15 (1.55-2.75),90,86.54,2.98 (2.68-3.29)
oligodendrocytes 0,1186,0.102,5.0,300,2,0.67,3.05 (2.05-4.04),298,99.33,3.80 (3.59-4.01)
microglia 1,958,0.095,25.0,290,9,3.1,1.69 (1.09-2.29),281,96.9,3.88 (3.65-4.11)
oligodendrocytes 3,639,0.068,24.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86)
oligodendrocytes 2,407,0.12,13.0,122,20,16.39,1.73 (1.20-2.26),102,83.61,3.75 (3.33-4.17)
