tipo_celular,module_size,OLA1_MM,OLA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.26,90.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,624,0.167,63.0,142,2,1.41,NA,140,98.59,3.21 (2.94-3.48)
astrocytes 5,1141,0.148,74.0,166,14,8.43,1.42 (0.96-1.88),152,91.57,3.58 (3.33-3.83)
oligodendrocyte progenitor cells 7,4285,0.151,74.0,353,32,9.07,1.90 (1.46-2.34),321,90.93,4.14 (3.96-4.32)
GABA neurons expressing GLU receptors 22,1069,0.183,62.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,380,0.131,23.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,132,0.437,91.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,75,0.107,9.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,1653,0.132,54.0,297,4,1.35,3.04 (2.03-4.05),293,98.65,3.68 (3.47-3.88)
oligodendrocytes 20,298,0.204,71.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300,0.112,11.0,306,7,2.29,2.41 (1.19-3.64),299,97.71,5.17 (4.91-5.43)
astrocytes 8,771,0.041,6.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,218,0.152,35.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,2107,0.257,83.0,358,23,6.42,1.44 (0.98-1.91),335,93.58,4.07 (3.88-4.25)
connective tissue cells 21,110,0.173,3.0,13,1,7.69,0.94 (NA-NA),12,92.31,3.30 (2.48-4.11)
astrocytes 15,1768,0.079,43.0,105,12,11.43,1.58 (1.08-2.07),93,88.57,3.42 (3.07-3.77)
oligodendrocytes 16,88,0.165,22.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409,0.111,42.0,235,33,14.04,3.27 (2.86-3.69),202,85.96,4.12 (3.83-4.40)
astrocytes microglia 23,100,0.222,14.0,9,1,11.11,2.53 (NA-NA),8,88.89,4.13 (3.05-5.21)
astrocytes 4,752,0.142,33.0,96,4,4.17,1.57 (1.57-1.57),92,95.83,3.34 (3.00-3.67)
oligodendrocytes 0,1186,0.128,25.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00)
microglia 1,813,0.202,93.0,79,3,3.8,2.87 (2.25-3.49),76,96.2,3.11 (2.69-3.53)
oligodendrocytes 3,1003,0.1,54.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.152,52.0,84,7,8.33,2.23 (0.73-3.72),77,91.67,2.73 (2.39-3.07)
