tipo_celular,module_size,FAR1_MM,FAR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.13,23.0,98,2,2.04,0.92 (0.19-1.65),96,97.96,3.28 (2.81-3.76)
T cells 18,610,0.217,88.0,98,11,11.22,0.76 (0.45-1.08),87,88.78,3.45 (3.17-3.74)
astrocytes 5,1141,0.171,92.0,166,7,4.22,1.00 (0.43-1.57),159,95.78,3.52 (3.27-3.76)
oligodendrocyte progenitor cells 7,4285,0.15,72.0,353,25,7.08,2.19 (1.27-3.10),328,92.92,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,400,0.237,72.0,24,8,33.33,0.96 (0.33-1.58),16,66.67,2.75 (2.27-3.24)
GLU like neurons 17,300,0.13,10.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,408,0.106,26.0,25,2,8.0,1.10 (-0.55-2.76),23,92.0,5.00 (3.67-6.34)
GABA neurons expressing GABA receptors 13,288,0.139,33.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64)
endothelial cells 9,1653,0.133,55.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,676,0.268,49.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,3052,0.14,51.0,125,3,2.4,5.77 (5.72-5.82),122,97.6,3.28 (2.96-3.60)
astrocytes 8,771,0.229,71.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708,0.192,75.0,25,3,12.0,3.10 (0.14-6.06),22,88.0,2.83 (1.77-3.89)
oligodendrocytes 10,130,0.5,70.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,126,0.191,4.0,7,2,28.57,1.12 (0.53-1.72),5,71.43,1.69 (0.21-3.17)
astrocytes 15,338,0.088,10.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,153,0.452,87.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.117,32.0,138,2,1.45,0.40 (0.12-0.69),136,98.55,4.90 (4.54-5.26)
astrocytes microglia 23,255,0.301,78.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,752,0.182,89.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,261,0.179,44.0,42,0,0.0,NA,42,100.0,4.06 (3.37-4.75)
microglia 1,813,0.114,48.0,79,2,2.53,2.30 (1.21-3.40),77,97.47,3.12 (2.71-3.54)
oligodendrocytes 3,116,0.262,41.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05)
oligodendrocytes 2,804,0.253,100.0,84,4,4.76,1.13 (0.16-2.09),80,95.24,2.79 (2.45-3.13)
