tipo_celular,module_size,CPEB4_MM,CPEB4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.197,67.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,282,0.184,60.0,12,3,25.0,5.12 (4.88-5.36),9,75.0,2.70 (1.43-3.96)
astrocytes 5,222,0.19,43.0,98,3,3.06,0.79 (NA-NA),95,96.94,4.65 (4.24-5.05)
oligodendrocyte progenitor cells 7,436,0.075,15.0,219,13,5.94,6.09 (4.99-7.19),206,94.06,5.17 (4.87-5.46)
GABA neurons expressing GLU receptors 22,567,0.063,3.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,685,0.182,72.0,135,38,28.15,2.83 (2.32-3.33),97,71.85,3.37 (2.99-3.75)
da like neurons 11,108,0.334,86.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,88,0.206,81.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,412,0.175,49.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,330,0.114,24.0,36,10,27.78,2.03 (1.52-2.55),26,72.22,1.88 (1.44-2.32)
GABA like neurons 14,1300,0.114,12.0,306,24,7.84,3.54 (2.42-4.67),282,92.16,5.24 (4.98-5.50)
astrocytes 8,279,0.315,70.0,78,9,11.54,3.03 (1.48-4.57),69,88.46,4.47 (4.05-4.88)
oligodendrocyte progenitor cells 12,411,0.207,60.0,103,3,2.91,7.18 (NA-NA),100,97.09,5.53 (5.14-5.91)
oligodendrocytes 10,130,0.169,12.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106,0.22,17.0,9,6,66.67,2.99 (-2.36-8.33),3,33.33,4.28 (0.96-7.59)
astrocytes 15,418,0.359,79.0,54,5,9.26,5.61 (4.02-7.20),49,90.74,3.51 (3.08-3.93)
oligodendrocytes 16,199,0.13,16.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,448,0.173,90.0,43,4,9.3,3.79 (3.71-3.88),39,90.7,3.21 (2.63-3.80)
astrocytes microglia 23,327,0.163,3.0,120,27,22.5,2.65 (2.04-3.25),93,77.5,3.98 (3.66-4.29)
astrocytes 4,255,0.081,1.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186,0.163,79.0,300,10,3.33,4.18 (3.12-5.23),290,96.67,3.78 (3.58-3.99)
microglia 1,813,0.198,92.0,79,5,6.33,2.79 (2.29-3.29),74,93.67,3.12 (2.69-3.56)
oligodendrocytes 3,854,0.15,92.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,804,0.191,85.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12)
