tipo_celular,module_size,TBCA_MM,TBCA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.164,17.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,506,0.115,16.0,225,14,6.22,2.09 (1.52-2.67),211,93.78,3.75 (3.50-4.01)
astrocytes 5,328,0.095,12.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.133,27.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,487,0.264,67.0,73,7,9.59,1.73 (1.24-2.22),66,90.41,2.88 (2.47-3.30)
GLU like neurons 17,1316,0.185,89.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,137,0.332,69.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,417,0.177,60.0,213,24,11.27,1.94 (1.25-2.63),189,88.73,4.07 (3.85-4.29)
endothelial cells 9,916,0.238,58.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23)
oligodendrocytes 20,938,0.172,71.0,169,7,4.14,1.86 (0.80-2.92),162,95.86,3.57 (3.35-3.78)
GABA like neurons 14,2402,0.351,74.0,455,30,6.59,2.08 (1.43-2.73),425,93.41,4.55 (4.38-4.73)
astrocytes 8,727,0.055,15.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,1049,0.118,64.0,235,4,1.7,5.88 (3.50-8.25),231,98.3,3.79 (3.56-4.02)
oligodendrocytes 10,483,0.16,65.0,129,2,1.55,5.92 (1.28-10.55),127,98.45,3.38 (2.99-3.76)
connective tissue cells 21,125,0.233,22.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1768,0.112,73.0,105,19,18.1,1.53 (1.21-1.86),86,81.9,3.62 (3.27-3.97)
oligodendrocytes 16,75,0.15,21.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.221,80.0,182,9,4.95,2.11 (1.43-2.80),173,95.05,3.74 (3.48-3.99)
astrocytes microglia 23,41,0.242,10.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57)
astrocytes 4,208,0.098,1.0,173,2,1.16,3.39 (3.07-3.71),171,98.84,3.80 (3.50-4.11)
oligodendrocytes 0,1186,0.088,2.0,300,1,0.33,2.89 (NA-NA),299,99.67,3.80 (3.59-4.00)
microglia 1,406,0.087,8.0,278,1,0.36,NA,277,99.64,4.36 (4.09-4.63)
oligodendrocytes 3,303,0.054,5.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526,0.137,11.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
