tipo_celular,module_size,SCAF11_MM,SCAF11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.187,39.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,388,0.131,39.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1141,0.146,71.0,166,23,13.86,1.86 (1.45-2.27),143,86.14,3.68 (3.42-3.94)
oligodendrocyte progenitor cells 7,4285,0.1,10.0,353,46,13.03,2.07 (1.72-2.41),307,86.97,4.25 (4.07-4.43)
GABA neurons expressing GLU receptors 22,567,0.198,53.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,685,0.09,22.0,135,14,10.37,1.49 (1.09-1.89),121,89.63,3.43 (3.11-3.74)
da like neurons 11,265,0.153,34.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,288,0.169,51.0,93,1,1.08,1.74 (NA-NA),92,98.92,5.20 (4.70-5.69)
endothelial cells 9,1653,0.098,25.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,938,0.031,5.0,169,9,5.33,2.65 (1.52-3.78),160,94.67,3.54 (3.32-3.76)
GABA like neurons 14,3052,0.114,29.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,260,0.146,61.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,218,0.323,62.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,2107,0.348,94.0,358,42,11.73,1.89 (1.56-2.21),316,88.27,4.22 (4.04-4.41)
connective tissue cells 21,102,0.215,15.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA
astrocytes 15,1768,0.111,71.0,105,26,24.76,1.96 (1.58-2.33),79,75.24,3.65 (3.26-4.03)
oligodendrocytes 16,69,0.203,52.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398,0.15,51.0,138,7,5.07,1.94 (0.78-3.10),131,94.93,4.98 (4.62-5.34)
astrocytes microglia 23,253,0.283,68.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22)
astrocytes 4,752,0.171,76.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.34 (3.00-3.67)
oligodendrocytes 0,1186,0.167,85.0,300,1,0.33,2.89 (NA-NA),299,99.67,3.80 (3.59-4.00)
microglia 1,315,0.093,10.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,357,0.09,46.0,127,7,5.51,3.44 (2.99-3.88),120,94.49,3.10 (2.74-3.45)
oligodendrocytes 2,804,0.092,2.0,84,4,4.76,1.12 (0.39-1.86),80,95.24,2.79 (2.45-3.13)
