tipo_celular,module_size,MINDY3_MM,MINDY3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.135,33.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,624,0.144,43.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656,0.132,77.0,136,1,0.74,NA,135,99.26,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.162,88.0,353,22,6.23,1.86 (1.32-2.39),331,93.77,4.04 (3.86-4.23)
GABA neurons expressing GLU receptors 22,714,0.108,10.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,229,0.225,67.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,82,0.287,57.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,75,0.123,19.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,1653,0.14,59.0,297,6,2.02,3.35 (1.74-4.96),291,97.98,3.68 (3.47-3.88)
oligodendrocytes 20,279,0.227,56.0,16,2,12.5,4.17 (NA-NA),14,87.5,2.26 (1.50-3.01)
GABA like neurons 14,3052,0.239,99.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,577,0.042,11.0,83,2,2.41,2.53 (NA-NA),81,97.59,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,3303,0.102,77.0,276,16,5.8,2.42 (1.90-2.94),260,94.2,3.62 (3.39-3.84)
oligodendrocytes 10,2107,0.088,22.0,358,20,5.59,1.82 (1.19-2.46),338,94.41,3.99 (3.80-4.18)
connective tissue cells 21,126,0.264,37.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48)
astrocytes 15,1768,0.076,40.0,105,10,9.52,2.03 (1.57-2.49),95,90.48,3.35 (2.99-3.71)
oligodendrocytes 16,123,0.186,28.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,228,0.097,50.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,121,0.27,23.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,787,0.157,61.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,309,0.136,52.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,813,0.108,40.0,79,2,2.53,1.99 (1.51-2.47),77,97.47,3.13 (2.72-3.54)
oligodendrocytes 3,1003,0.071,23.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921,0.114,16.0,200,4,2.0,2.72 (1.26-4.17),196,98.0,3.64 (3.37-3.91)
