tipo_celular,module_size,CPEB3_MM,CPEB3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.148,11.0,21,9,42.86,1.13 (0.54-1.72),12,57.14,3.26 (2.67-3.85)
T cells 18,610,0.175,68.0,98,37,37.76,1.96 (1.60-2.32),61,62.24,3.96 (3.64-4.28)
astrocytes 5,222,0.17,33.0,98,7,7.14,2.51 (1.37-3.64),91,92.86,4.73 (4.32-5.14)
oligodendrocyte progenitor cells 7,666,0.069,3.0,127,14,11.02,2.61 (1.91-3.30),113,88.98,4.07 (3.71-4.43)
GABA neurons expressing GLU receptors 22,459,0.139,40.0,165,22,13.33,2.63 (2.13-3.12),143,86.67,5.46 (5.13-5.80)
GLU like neurons 17,1247,0.25,94.0,51,2,3.92,5.51 (5.51-5.51),49,96.08,3.53 (2.94-4.12)
da like neurons 11,172,0.447,98.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,238,0.202,69.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37)
endothelial cells 9,1653,0.157,72.0,297,3,1.01,5.64 (5.34-5.94),294,98.99,3.65 (3.44-3.85)
oligodendrocytes 20,322,0.093,35.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300,0.205,50.0,306,55,17.97,3.73 (3.23-4.24),251,82.03,5.51 (5.23-5.78)
astrocytes 8,1266,0.141,85.0,66,29,43.94,2.70 (2.12-3.29),37,56.06,3.77 (3.23-4.30)
oligodendrocyte progenitor cells 12,143,0.446,62.0,1,1,100.0,7.70 (NA-NA),0,0.0,NA
oligodendrocytes 10,1277,0.091,39.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106,0.203,11.0,9,5,55.56,0.26 (NA-NA),4,44.44,4.64 (2.19-7.09)
astrocytes 15,443,0.075,7.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,90,0.159,14.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,307,0.159,76.0,95,8,8.42,4.76 (4.10-5.43),87,91.58,4.85 (4.38-5.33)
astrocytes microglia 23,39,0.272,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,201,0.244,86.0,18,4,22.22,2.99 (2.47-3.51),14,77.78,5.06 (4.04-6.07)
oligodendrocytes 0,613,0.14,48.0,127,21,16.54,2.98 (2.25-3.71),106,83.46,3.08 (2.58-3.58)
microglia 1,958,0.141,84.0,290,35,12.07,4.14 (3.56-4.72),255,87.93,3.76 (3.51-4.01)
oligodendrocytes 3,681,0.164,89.0,87,55,63.22,2.48 (2.18-2.78),32,36.78,2.81 (2.24-3.38)
oligodendrocytes 2,407,0.17,65.0,122,60,49.18,2.38 (2.07-2.69),62,50.82,4.91 (4.31-5.52)
