tipo_celular,module_size,RTN4_MM,RTN4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.307,84.0,140,13,9.29,6.08 (4.89-7.28),127,90.71,4.28 (3.85-4.71)
T cells 18,282,0.312,89.0,241,7,2.9,3.54 (2.31-4.76),234,97.1,4.08 (3.82-4.33)
astrocytes 5,228,0.329,90.0,266,43,16.17,3.41 (2.79-4.03),223,83.83,4.28 (4.07-4.49)
oligodendrocyte progenitor cells 7,296,0.296,86.0,251,2,0.8,3.22 (NA-NA),249,99.2,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848,0.407,92.0,262,59,22.52,4.43 (3.84-5.01),203,77.48,4.06 (3.80-4.32)
GLU like neurons 17,637,0.158,51.0,91,25,27.47,2.43 (1.68-3.17),66,72.53,5.57 (5.12-6.01)
da like neurons 11,1220,0.485,97.0,410,39,9.51,3.97 (3.47-4.48),371,90.49,4.28 (4.08-4.49)
GABA neurons expressing GABA receptors 13,357,0.344,93.0,237,15,6.33,5.21 (3.97-6.45),222,93.67,4.34 (4.11-4.57)
endothelial cells 9,338,0.39,95.0,191,2,1.05,3.14 (1.36-4.92),189,98.95,3.89 (3.67-4.12)
oligodendrocytes 20,271,0.066,8.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.57,93.0,455,49,10.77,2.93 (2.40-3.45),406,89.23,4.58 (4.39-4.76)
astrocytes 8,520,0.395,95.0,288,39,13.54,3.76 (3.19-4.33),249,86.46,4.24 (4.03-4.45)
oligodendrocyte progenitor cells 12,708,0.237,82.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,806,0.602,98.0,261,45,17.24,5.00 (4.36-5.63),216,82.76,4.20 (3.95-4.45)
connective tissue cells 21,101,0.347,60.0,116,23,19.83,5.27 (4.16-6.38),93,80.17,4.38 (3.98-4.77)
astrocytes 15,458,0.176,80.0,36,7,19.44,8.14 (7.87-8.41),29,80.56,2.61 (1.87-3.36)
oligodendrocytes 16,313,0.463,92.0,291,28,9.62,4.31 (3.42-5.19),263,90.38,4.33 (4.10-4.55)
da neurons 6,300,0.421,99.0,159,5,3.14,5.85 (4.12-7.58),154,96.86,4.31 (4.00-4.63)
astrocytes microglia 23,70,0.323,53.0,76,2,2.63,NA,74,97.37,4.20 (3.69-4.72)
astrocytes 4,157,0.275,74.0,178,25,14.04,2.81 (1.97-3.64),153,85.96,4.40 (4.14-4.65)
oligodendrocytes 0,546,0.152,40.0,252,51,20.24,3.17 (2.54-3.80),201,79.76,4.36 (4.11-4.61)
microglia 1,214,0.272,76.0,227,15,6.61,4.80 (3.69-5.91),212,93.39,4.03 (3.79-4.27)
oligodendrocytes 3,457,0.252,90.0,345,38,11.01,3.85 (3.31-4.39),307,88.99,4.34 (4.12-4.57)
oligodendrocytes 2,528,0.357,90.0,175,26,14.86,4.33 (3.65-5.02),149,85.14,4.39 (3.98-4.79)
