tipo_celular,module_size,EIF3M_MM,EIF3M_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.155,47.0,97,2,2.06,2.60 (2.60-2.60),95,97.94,3.07 (2.66-3.47)
T cells 18,506,0.104,13.0,225,22,9.78,2.82 (2.25-3.40),203,90.22,3.73 (3.46-4.00)
astrocytes 5,1656,0.109,38.0,136,8,5.88,1.96 (1.27-2.65),128,94.12,3.30 (3.02-3.58)
oligodendrocyte progenitor cells 7,4285,0.136,52.0,353,25,7.08,2.09 (1.49-2.69),328,92.92,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,599,0.256,72.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,795,0.049,2.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,1220,0.069,3.0,410,18,4.39,3.18 (2.53-3.82),392,95.61,4.32 (4.12-4.51)
GABA neurons expressing GABA receptors 13,65,0.18,57.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,385,0.063,9.0,275,32,11.64,2.51 (1.99-3.04),243,88.36,4.23 (3.96-4.51)
oligodendrocytes 20,938,0.086,30.0,169,15,8.88,2.69 (1.99-3.39),154,91.12,3.58 (3.35-3.80)
GABA like neurons 14,3052,0.142,53.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520,0.032,3.0,288,11,3.82,2.49 (1.82-3.16),277,96.18,4.26 (4.06-4.46)
oligodendrocyte progenitor cells 12,1049,0.087,47.0,235,10,4.26,3.44 (2.89-3.99),225,95.74,3.85 (3.60-4.09)
oligodendrocytes 10,483,0.126,53.0,129,12,9.3,3.63 (3.06-4.20),117,90.7,3.40 (2.96-3.84)
connective tissue cells 21,85,0.423,93.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,1768,0.048,13.0,105,15,14.29,1.24 (0.98-1.51),90,85.71,3.57 (3.23-3.91)
oligodendrocytes 16,74,0.153,21.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,448,0.073,13.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,116,0.348,67.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,1807,0.149,58.0,104,13,12.5,1.17 (0.89-1.45),91,87.5,3.13 (2.85-3.41)
oligodendrocytes 0,2078,0.084,6.0,238,3,1.26,2.79 (-0.25-5.84),235,98.74,3.65 (3.43-3.87)
microglia 1,813,0.111,44.0,79,4,5.06,3.03 (2.29-3.78),75,94.94,3.11 (2.68-3.53)
oligodendrocytes 3,94,0.043,3.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,1630,0.138,43.0,154,6,3.9,3.38 (2.39-4.37),148,96.1,3.24 (2.96-3.51)
