tipo_celular,module_size,HDLBP_MM,HDLBP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.173,42.0,102,4,3.92,1.16 (0.65-1.68),98,96.08,3.60 (3.24-3.96)
T cells 18,282,0.225,75.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,1141,0.108,21.0,166,7,4.22,0.71 (0.43-0.98),159,95.78,3.51 (3.27-3.76)
oligodendrocyte progenitor cells 7,4285,0.124,33.0,353,16,4.53,0.98 (0.58-1.38),337,95.47,4.06 (3.88-4.23)
GABA neurons expressing GLU receptors 22,848,0.291,74.0,262,8,3.05,1.22 (0.37-2.07),254,96.95,4.26 (4.02-4.50)
GLU like neurons 17,685,0.064,8.0,135,9,6.67,1.35 (0.78-1.91),126,93.33,3.33 (3.02-3.64)
da like neurons 11,59,0.184,38.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357,0.087,8.0,237,1,0.42,3.22 (NA-NA),236,99.58,4.41 (4.18-4.65)
endothelial cells 9,303,0.067,12.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,938,0.106,40.0,169,2,1.18,0.38 (0.04-0.71),167,98.82,3.53 (3.31-3.74)
GABA like neurons 14,2402,0.177,34.0,455,14,3.08,0.97 (0.54-1.39),441,96.92,4.48 (4.30-4.66)
astrocytes 8,520,0.109,46.0,288,5,1.74,2.07 (0.74-3.40),283,98.26,4.21 (4.01-4.41)
oligodendrocyte progenitor cells 12,3303,0.1,74.0,276,10,3.62,1.43 (0.85-2.01),266,96.38,3.63 (3.41-3.84)
oligodendrocytes 10,735,0.143,73.0,277,1,0.36,3.42 (NA-NA),276,99.64,3.90 (3.65-4.14)
connective tissue cells 21,111,0.201,2.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338,0.144,47.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,74,0.146,17.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,409,0.166,69.0,235,4,1.7,1.60 (0.40-2.80),231,98.3,4.03 (3.78-4.28)
astrocytes microglia 23,126,0.149,2.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,721,0.139,27.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,613,0.127,34.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,958,0.103,37.0,290,3,1.03,3.22 (NA-NA),287,98.97,3.82 (3.59-4.05)
oligodendrocytes 3,681,0.071,26.0,87,7,8.05,0.93 (0.55-1.31),80,91.95,2.74 (2.47-3.01)
oligodendrocytes 2,921,0.112,13.0,200,2,1.0,3.22 (NA-NA),198,99.0,3.62 (3.36-3.89)
