tipo_celular,module_size,HSP90AB1_MM,HSP90AB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.417,96.0,140,31,22.14,4.90 (3.57-6.23),109,77.86,4.46 (4.01-4.91)
T cells 18,282,0.395,94.0,241,28,11.62,4.08 (3.17-5.00),213,88.38,4.05 (3.79-4.31)
astrocytes 5,228,0.459,97.0,266,73,27.44,3.36 (2.77-3.95),193,72.56,4.33 (4.13-4.53)
oligodendrocyte progenitor cells 7,296,0.413,96.0,251,14,5.58,3.04 (2.69-3.40),237,94.42,4.08 (3.84-4.32)
GABA neurons expressing GLU receptors 22,848,0.471,97.0,262,85,32.44,3.78 (3.35-4.21),177,67.56,4.33 (4.03-4.63)
GLU like neurons 17,685,0.189,74.0,135,63,46.67,2.63 (2.25-3.01),72,53.33,3.64 (3.21-4.07)
da like neurons 11,1220,0.646,100.0,410,89,21.71,4.08 (3.69-4.48),321,78.29,4.29 (4.08-4.50)
GABA neurons expressing GABA receptors 13,357,0.332,92.0,237,21,8.86,3.57 (2.81-4.32),216,91.14,4.48 (4.24-4.72)
endothelial cells 9,385,0.362,98.0,275,110,40.0,3.10 (2.74-3.45),165,60.0,4.70 (4.39-5.02)
oligodendrocytes 20,938,0.122,48.0,169,54,31.95,3.67 (3.24-4.10),115,68.05,3.41 (3.15-3.66)
GABA like neurons 14,2402,0.746,100.0,455,111,24.4,3.79 (3.37-4.21),344,75.6,4.55 (4.35-4.74)
astrocytes 8,520,0.517,98.0,288,70,24.31,3.47 (3.11-3.83),218,75.69,4.34 (4.11-4.56)
oligodendrocyte progenitor cells 12,138,0.356,11.0,5,4,80.0,4.33 (4.33-4.33),1,20.0,NA
oligodendrocytes 10,806,0.657,100.0,261,46,17.62,3.79 (3.03-4.54),215,82.38,4.45 (4.19-4.70)
connective tissue cells 21,301,0.538,84.0,158,32,20.25,3.71 (2.97-4.46),126,79.75,4.40 (3.98-4.82)
astrocytes 15,338,0.093,11.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,313,0.498,95.0,291,59,20.27,3.90 (3.34-4.47),232,79.73,4.41 (4.17-4.66)
da neurons 6,409,0.333,97.0,235,37,15.74,3.73 (3.06-4.40),198,84.26,4.02 (3.75-4.29)
astrocytes microglia 23,70,0.465,86.0,76,8,10.53,7.89 (7.51-8.27),68,89.47,3.91 (3.47-4.35)
astrocytes 4,157,0.367,86.0,178,41,23.03,3.32 (2.54-4.09),137,76.97,4.37 (4.11-4.63)
oligodendrocytes 0,546,0.352,96.0,252,85,33.73,3.66 (3.15-4.17),167,66.27,4.33 (4.07-4.58)
microglia 1,214,0.458,95.0,227,30,13.22,4.03 (3.05-5.01),197,86.78,4.10 (3.85-4.34)
oligodendrocytes 3,457,0.437,98.0,345,103,29.86,4.13 (3.79-4.48),242,70.14,4.33 (4.08-4.59)
oligodendrocytes 2,526,0.49,92.0,213,15,7.04,6.10 (5.35-6.85),198,92.96,3.78 (3.51-4.05)
