tipo_celular,module_size,MBTPS1_MM,MBTPS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.184,26.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,518,0.101,15.0,131,3,2.29,3.88 (1.79-5.97),128,97.71,3.05 (2.77-3.33)
astrocytes 5,1656,0.107,36.0,136,8,5.88,2.45 (1.74-3.16),128,94.12,3.26 (2.98-3.55)
oligodendrocyte progenitor cells 7,4285,0.135,50.0,353,38,10.76,2.05 (1.59-2.51),315,89.24,4.19 (4.01-4.37)
GABA neurons expressing GLU receptors 22,203,0.243,42.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,380,0.132,24.0,39,3,7.69,2.44 (1.38-3.50),36,92.31,3.01 (2.42-3.61)
da like neurons 11,215,0.126,23.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,200,0.127,31.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,1653,0.066,6.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,348,0.048,20.0,33,1,3.03,3.22 (NA-NA),32,96.97,2.72 (2.21-3.22)
GABA like neurons 14,3052,0.183,84.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603,0.037,8.0,89,8,8.99,1.96 (0.77-3.14),81,91.01,2.87 (2.51-3.23)
oligodendrocyte progenitor cells 12,3303,0.049,14.0,276,27,9.78,1.96 (1.66-2.26),249,90.22,3.77 (3.55-4.00)
oligodendrocytes 10,2107,0.096,27.0,358,34,9.5,1.60 (1.28-1.91),324,90.5,4.19 (4.01-4.37)
connective tissue cells 21,101,0.285,59.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,1768,0.067,31.0,105,22,20.95,1.90 (1.51-2.28),83,79.05,3.60 (3.22-3.97)
oligodendrocytes 16,123,0.241,71.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,448,0.115,65.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,67,0.234,13.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.169,81.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.14,41.0,300,2,0.67,2.88 (1.28-4.48),298,99.33,3.80 (3.59-4.01)
microglia 1,958,0.11,47.0,290,10,3.45,1.80 (1.30-2.29),280,96.55,3.91 (3.67-4.14)
oligodendrocytes 3,681,0.069,24.0,87,18,20.69,1.57 (1.24-1.89),69,79.31,2.88 (2.58-3.18)
oligodendrocytes 2,921,0.129,36.0,200,7,3.5,2.22 (1.69-2.76),193,96.5,3.68 (3.41-3.96)
