tipo_celular,module_size,ANK2_MM,ANK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.323,83.0,15,5,33.33,4.55 (4.27-4.84),10,66.67,6.25 (5.53-6.97)
T cells 18,349,0.37,86.0,68,19,27.94,3.02 (2.24-3.79),49,72.06,4.97 (4.34-5.61)
astrocytes 5,156,0.151,57.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,200,0.109,19.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,567,0.146,29.0,16,2,12.5,1.95 (NA-NA),14,87.5,1.97 (1.25-2.70)
GLU like neurons 17,795,0.314,95.0,80,7,8.75,4.61 (3.34-5.88),73,91.25,5.83 (5.41-6.26)
da like neurons 11,153,0.379,88.0,2,1,50.0,5.80 (NA-NA),1,50.0,NA
GABA neurons expressing GABA receptors 13,357,0.365,95.0,237,14,5.91,4.05 (3.78-4.31),223,94.09,4.44 (4.19-4.69)
endothelial cells 9,450,0.51,88.0,74,8,10.81,4.72 (2.67-6.77),66,89.19,5.55 (4.98-6.12)
oligodendrocytes 20,676,0.358,63.0,110,20,18.18,3.48 (2.62-4.33),90,81.82,5.41 (4.94-5.89)
GABA like neurons 14,1300,0.128,16.0,306,68,22.22,3.61 (3.23-3.99),238,77.78,5.75 (5.47-6.03)
astrocytes 8,727,0.3,100.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708,0.174,72.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,806,0.365,86.0,261,20,7.66,3.90 (3.25-4.54),241,92.34,4.41 (4.15-4.67)
connective tissue cells 21,250,0.562,84.0,117,27,23.08,4.38 (3.60-5.15),90,76.92,5.79 (5.36-6.21)
astrocytes 15,418,0.104,50.0,54,14,25.93,3.74 (3.21-4.28),40,74.07,3.66 (3.12-4.21)
oligodendrocytes 16,149,0.142,21.0,70,3,4.29,6.05 (4.38-7.71),67,95.71,5.62 (5.13-6.12)
da neurons 6,300,0.345,93.0,159,6,3.77,4.92 (3.82-6.02),153,96.23,4.34 (4.02-4.66)
astrocytes microglia 23,141,0.241,49.0,30,7,23.33,3.08 (1.98-4.19),23,76.67,6.63 (5.94-7.32)
astrocytes 4,220,0.202,71.0,63,14,22.22,3.33 (2.78-3.88),49,77.78,5.87 (5.27-6.47)
oligodendrocytes 0,479,0.328,98.0,40,5,12.5,5.63 (3.94-7.31),35,87.5,5.91 (5.36-6.45)
microglia 1,813,0.19,91.0,79,1,1.27,4.05 (NA-NA),78,98.73,3.09 (2.68-3.49)
oligodendrocytes 3,1003,0.203,96.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,348,0.337,88.0,114,17,14.91,3.50 (3.05-3.94),97,85.09,5.48 (5.03-5.93)
