tipo_celular,module_size,MAPK9_MM,MAPK9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.054,0.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,477,0.158,47.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656,0.108,37.0,136,4,2.94,1.54 (1.26-1.82),132,97.06,3.27 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285,0.154,78.0,353,42,11.9,2.11 (1.73-2.49),311,88.1,4.20 (4.01-4.38)
GABA neurons expressing GLU receptors 22,823,0.208,69.0,23,8,34.78,3.34 (2.45-4.23),15,65.22,1.80 (0.90-2.69)
GLU like neurons 17,1316,0.115,43.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,108,0.211,49.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,238,0.12,22.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338,0.065,8.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,938,0.091,33.0,169,4,2.37,1.01 (0.24-1.78),165,97.63,3.55 (3.34-3.77)
GABA like neurons 14,3052,0.142,53.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,727,0.122,60.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.056,22.0,276,38,13.77,2.39 (2.04-2.74),238,86.23,3.79 (3.55-4.03)
oligodendrocytes 10,806,0.13,40.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,112,0.206,35.0,7,1,14.29,1.85 (NA-NA),6,85.71,1.97 (1.05-2.89)
astrocytes 15,458,0.032,6.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,123,0.165,19.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,553,0.157,69.0,124,7,5.65,3.14 (2.07-4.22),117,94.35,4.27 (3.86-4.68)
astrocytes microglia 23,58,0.325,69.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.151,63.0,104,25,24.04,1.92 (1.52-2.33),79,75.96,3.16 (2.84-3.48)
oligodendrocytes 0,2078,0.097,17.0,238,9,3.78,2.49 (1.90-3.08),229,96.22,3.69 (3.46-3.92)
microglia 1,1615,0.111,52.0,161,45,27.95,2.21 (1.84-2.57),116,72.05,3.79 (3.48-4.09)
oligodendrocytes 3,639,0.045,4.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86)
oligodendrocytes 2,1630,0.127,22.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
