tipo_celular,module_size,LUC7L3_MM,LUC7L3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.127,31.0,35,1,2.86,NA,34,97.14,3.74 (2.80-4.69)
T cells 18,727,0.175,74.0,49,1,2.04,3.05 (NA-NA),48,97.96,2.41 (2.01-2.82)
astrocytes 5,1141,0.1,14.0,166,24,14.46,1.89 (1.46-2.32),142,85.54,3.66 (3.40-3.92)
oligodendrocyte progenitor cells 7,448,0.162,67.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70)
GABA neurons expressing GLU receptors 22,192,0.274,87.0,55,3,5.45,1.79 (1.09-2.49),52,94.55,4.12 (3.71-4.54)
GLU like neurons 17,637,0.123,34.0,91,10,10.99,1.06 (0.48-1.64),81,89.01,5.15 (4.70-5.59)
da like neurons 11,853,0.149,62.0,133,32,24.06,1.78 (1.43-2.14),101,75.94,3.79 (3.45-4.13)
GABA neurons expressing GABA receptors 13,288,0.071,1.0,93,1,1.08,1.74 (NA-NA),92,98.92,5.20 (4.70-5.69)
endothelial cells 9,1653,0.136,56.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676,0.506,79.0,110,2,1.82,1.74 (NA-NA),108,98.18,5.03 (4.59-5.48)
GABA like neurons 14,1300,0.157,26.0,306,4,1.31,1.41 (0.62-2.20),302,98.69,5.16 (4.91-5.42)
astrocytes 8,279,0.046,1.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73)
oligodendrocyte progenitor cells 12,254,0.291,52.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,130,0.379,44.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,250,0.2,18.0,117,2,1.71,1.74 (1.73-1.75),115,98.29,5.46 (5.07-5.85)
astrocytes 15,268,0.149,69.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74)
oligodendrocytes 16,153,0.361,50.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.147,49.0,138,7,5.07,1.94 (0.78-3.10),131,94.93,4.98 (4.62-5.34)
astrocytes microglia 23,141,0.166,5.0,30,2,6.67,1.74 (1.73-1.75),28,93.33,6.06 (5.27-6.84)
astrocytes 4,752,0.109,4.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,261,0.177,43.0,42,3,7.14,1.55 (1.18-1.92),39,92.86,4.32 (3.62-5.02)
microglia 1,1615,0.136,81.0,161,32,19.88,1.47 (1.16-1.79),129,80.12,3.80 (3.55-4.06)
oligodendrocytes 3,116,0.257,36.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05)
oligodendrocytes 2,407,0.05,0.0,122,24,19.67,1.51 (1.16-1.86),98,80.33,3.94 (3.52-4.35)
