tipo_celular,module_size,IQSEC1_MM,IQSEC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.258,75.0,102,7,6.86,1.64 (1.05-2.22),95,93.14,3.64 (3.27-4.02)
T cells 18,727,0.131,39.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,932,0.108,49.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285,0.074,2.0,353,19,5.38,1.53 (1.04-2.02),334,94.62,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,848,0.203,47.0,262,16,6.11,3.82 (2.73-4.90),246,93.89,4.19 (3.94-4.44)
GLU like neurons 17,1247,0.206,85.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,289,0.291,87.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,266,0.19,65.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,658,0.111,16.0,120,17,14.17,5.11 (4.36-5.86),103,85.83,4.51 (4.16-4.86)
oligodendrocytes 20,358,0.127,37.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,1300,0.251,70.0,306,38,12.42,3.99 (3.35-4.62),268,87.58,5.33 (5.05-5.61)
astrocytes 8,354,0.088,27.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,218,0.197,40.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,806,0.145,45.0,261,10,3.83,4.88 (3.75-6.01),251,96.17,4.34 (4.09-4.58)
connective tissue cells 21,102,0.284,50.0,5,2,40.0,1.57 (1.57-1.57),3,60.0,1.01 (NA-NA)
astrocytes 15,1401,0.096,60.0,96,13,13.54,3.53 (2.70-4.35),83,86.46,3.63 (3.11-4.14)
oligodendrocytes 16,88,0.167,23.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307,0.132,61.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,131,0.266,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,251,0.166,52.0,34,1,2.94,NA,33,97.06,5.25 (4.63-5.86)
oligodendrocytes 0,1186,0.127,24.0,300,2,0.67,4.26 (2.60-5.91),298,99.33,3.79 (3.58-4.00)
microglia 1,480,0.192,51.0,163,6,3.68,4.75 (4.21-5.29),157,96.32,3.66 (3.39-3.94)
oligodendrocytes 3,187,0.091,40.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,131,0.144,24.0,20,1,5.0,6.20 (NA-NA),19,95.0,4.40 (3.65-5.15)
