tipo_celular,module_size,ORC4_MM,ORC4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.112,18.0,71,4,5.63,1.30 (0.54-2.06),67,94.37,2.72 (2.29-3.14)
T cells 18,518,0.083,5.0,131,2,1.53,2.98 (1.14-4.81),129,98.47,3.08 (2.80-3.35)
astrocytes 5,1141,0.129,46.0,166,18,10.84,1.64 (1.21-2.07),148,89.16,3.66 (3.40-3.91)
oligodendrocyte progenitor cells 7,4285,0.15,72.0,353,32,9.07,1.65 (1.27-2.04),321,90.93,4.19 (4.01-4.36)
GABA neurons expressing GLU receptors 22,823,0.185,54.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,1316,0.156,76.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,120,0.327,71.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,73,0.12,19.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,450,0.096,12.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,279,0.346,84.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402,0.195,40.0,455,21,4.62,1.47 (0.98-1.95),434,95.38,4.54 (4.36-4.71)
astrocytes 8,727,0.052,11.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,3303,0.049,14.0,276,23,8.33,1.85 (1.47-2.23),253,91.67,3.75 (3.53-3.97)
oligodendrocytes 10,2107,0.119,38.0,358,33,9.22,1.77 (1.35-2.18),325,90.78,4.16 (3.98-4.34)
connective tissue cells 21,136,0.341,69.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1768,0.122,79.0,105,14,13.33,1.35 (0.99-1.71),91,86.67,3.53 (3.18-3.87)
oligodendrocytes 16,151,0.183,43.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,448,0.12,69.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,122,0.277,34.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,787,0.174,88.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.123,69.0,238,6,2.52,1.99 (1.04-2.95),232,97.48,3.69 (3.46-3.91)
microglia 1,1615,0.121,66.0,161,29,18.01,1.70 (1.24-2.16),132,81.99,3.72 (3.45-3.98)
oligodendrocytes 3,681,0.103,58.0,87,21,24.14,1.68 (1.28-2.07),66,75.86,2.90 (2.60-3.21)
oligodendrocytes 2,921,0.121,23.0,200,2,1.0,3.38 (2.34-4.42),198,99.0,3.62 (3.36-3.89)
