tipo_celular,module_size,PI4KA_MM,PI4KA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.148,12.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,477,0.152,43.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932,0.129,77.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285,0.126,36.0,353,28,7.93,2.74 (1.94-3.55),325,92.07,4.02 (3.83-4.20)
GABA neurons expressing GLU receptors 22,487,0.015,1.0,73,2,2.74,3.01 (-0.31-6.32),71,97.26,2.75 (2.36-3.13)
GLU like neurons 17,1247,0.278,96.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,853,0.326,99.0,133,12,9.02,1.71 (0.80-2.63),121,90.98,3.44 (3.12-3.75)
GABA neurons expressing GABA receptors 13,266,0.152,48.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,1653,0.161,74.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,348,0.19,69.0,33,4,12.12,3.65 (3.00-4.29),29,87.88,2.59 (2.06-3.13)
GABA like neurons 14,1300,0.278,81.0,306,23,7.52,2.71 (2.15-3.28),283,92.48,5.38 (5.12-5.64)
astrocytes 8,1266,0.174,93.0,66,12,18.18,1.85 (0.93-2.76),54,81.82,3.59 (3.18-4.01)
oligodendrocyte progenitor cells 12,3303,0.081,53.0,276,23,8.33,3.55 (2.72-4.38),253,91.67,3.54 (3.32-3.76)
oligodendrocytes 10,2107,0.095,26.0,358,22,6.15,1.73 (1.06-2.39),336,93.85,4.05 (3.87-4.24)
connective tissue cells 21,82,0.193,9.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,261,0.122,32.0,8,4,50.0,2.11 (0.07-4.15),4,50.0,5.77 (3.36-8.18)
oligodendrocytes 16,90,0.151,12.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,409,0.107,39.0,235,6,2.55,2.92 (1.65-4.19),229,97.45,4.01 (3.76-4.27)
astrocytes microglia 23,190,0.228,23.0,7,1,14.29,4.07 (NA-NA),6,85.71,4.99 (3.72-6.27)
astrocytes 4,251,0.14,32.0,34,3,8.82,3.18 (1.69-4.67),31,91.18,5.53 (4.95-6.11)
oligodendrocytes 0,1186,0.148,56.0,300,6,2.0,3.90 (3.71-4.09),294,98.0,3.79 (3.58-4.00)
microglia 1,958,0.104,39.0,290,6,2.07,1.93 (0.69-3.17),284,97.93,3.86 (3.63-4.09)
oligodendrocytes 3,357,0.111,61.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,407,0.207,88.0,122,12,9.84,0.98 (0.46-1.50),110,90.16,3.67 (3.28-4.05)
