tipo_celular,module_size,CAPZA2_MM,CAPZA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.135,6.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,727,0.11,25.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.12,34.0,166,10,6.02,2.39 (1.47-3.31),156,93.98,3.47 (3.21-3.73)
oligodendrocyte progenitor cells 7,4285,0.133,47.0,353,20,5.67,1.66 (1.16-2.16),333,94.33,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,848,0.273,70.0,262,16,6.11,2.74 (1.91-3.57),246,93.89,4.26 (4.00-4.51)
GLU like neurons 17,1316,0.088,17.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,1220,0.158,41.0,410,15,3.66,3.28 (2.08-4.49),395,96.34,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,266,0.142,39.0,118,1,0.85,2.92 (NA-NA),117,99.15,4.76 (4.40-5.11)
endothelial cells 9,559,0.129,38.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,938,0.069,22.0,169,12,7.1,2.74 (1.51-3.97),157,92.9,3.53 (3.31-3.75)
GABA like neurons 14,2402,0.279,62.0,455,21,4.62,2.29 (1.52-3.07),434,95.38,4.45 (4.27-4.64)
astrocytes 8,283,0.138,50.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.047,12.0,276,11,3.99,2.10 (1.24-2.95),265,96.01,3.62 (3.40-3.84)
oligodendrocytes 10,735,0.134,71.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,111,0.274,47.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18)
astrocytes 15,1768,0.112,73.0,105,8,7.62,1.53 (0.89-2.17),97,92.38,3.36 (3.02-3.71)
oligodendrocytes 16,91,0.177,24.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409,0.105,37.0,235,4,1.7,3.75 (3.30-4.19),231,98.3,3.98 (3.72-4.24)
astrocytes microglia 23,132,0.233,8.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,721,0.15,47.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,2078,0.124,70.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88)
microglia 1,958,0.084,11.0,290,13,4.48,2.08 (1.58-2.59),277,95.52,3.92 (3.68-4.15)
oligodendrocytes 3,457,0.053,9.0,345,18,5.22,3.51 (2.71-4.30),327,94.78,4.32 (4.10-4.53)
oligodendrocytes 2,921,0.126,32.0,200,5,2.5,3.54 (2.70-4.39),195,97.5,3.62 (3.35-3.90)
