tipo_celular,module_size,NAPB_MM,NAPB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.232,65.0,21,5,23.81,1.37 (0.19-2.55),16,76.19,2.61 (1.92-3.30)
T cells 18,282,0.248,80.0,241,4,1.66,5.81 (3.71-7.92),237,98.34,4.02 (3.77-4.27)
astrocytes 5,228,0.162,43.0,266,36,13.53,2.97 (2.40-3.55),230,86.47,4.33 (4.12-4.54)
oligodendrocyte progenitor cells 7,296,0.169,42.0,251,2,0.8,5.41 (1.13-9.68),249,99.2,4.05 (3.81-4.29)
GABA neurons expressing GLU receptors 22,848,0.282,72.0,262,36,13.74,3.96 (3.31-4.61),226,86.26,4.19 (3.93-4.46)
GLU like neurons 17,380,0.204,74.0,39,3,7.69,3.01 (1.90-4.12),36,92.31,2.96 (2.37-3.56)
da like neurons 11,1220,0.287,78.0,410,28,6.83,3.46 (2.82-4.10),382,93.17,4.31 (4.12-4.51)
GABA neurons expressing GABA receptors 13,238,0.164,52.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338,0.259,81.0,191,7,3.66,4.06 (2.09-6.02),184,96.34,3.88 (3.66-4.11)
oligodendrocytes 20,322,0.054,17.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402,0.339,72.0,455,28,6.15,2.86 (2.27-3.45),427,93.85,4.46 (4.27-4.65)
astrocytes 8,520,0.238,78.0,288,35,12.15,3.61 (3.08-4.15),253,87.85,4.26 (4.05-4.48)
oligodendrocyte progenitor cells 12,3303,0.153,99.0,276,22,7.97,3.01 (2.37-3.64),254,92.03,3.60 (3.37-3.83)
oligodendrocytes 10,806,0.37,87.0,261,22,8.43,3.62 (2.60-4.64),239,91.57,4.42 (4.17-4.67)
connective tissue cells 21,116,0.232,22.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,443,0.18,72.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,313,0.26,63.0,291,20,6.87,3.38 (2.78-3.98),271,93.13,4.42 (4.18-4.65)
da neurons 6,553,0.183,79.0,124,1,0.81,7.59 (NA-NA),123,99.19,4.14 (3.75-4.53)
astrocytes microglia 23,161,0.34,57.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,157,0.151,29.0,178,28,15.73,3.08 (2.29-3.86),150,84.27,4.36 (4.09-4.63)
oligodendrocytes 0,116,0.105,20.0,169,6,3.55,4.69 (2.96-6.43),163,96.45,4.26 (3.96-4.56)
microglia 1,214,0.207,58.0,227,12,5.29,3.76 (2.49-5.04),215,94.71,4.11 (3.87-4.35)
oligodendrocytes 3,457,0.162,70.0,345,33,9.57,3.29 (2.82-3.76),312,90.43,4.40 (4.18-4.62)
oligodendrocytes 2,99,0.166,26.0,116,4,3.45,5.78 (5.38-6.17),112,96.55,3.91 (3.61-4.21)
