tipo_celular,module_size,EIF4H_MM,EIF4H_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.266,80.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,393,0.107,17.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1656,0.119,55.0,136,8,5.88,2.08 (1.18-2.98),128,94.12,3.29 (3.01-3.57)
oligodendrocyte progenitor cells 7,628,0.152,41.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43)
GABA neurons expressing GLU receptors 22,848,0.303,77.0,262,14,5.34,2.65 (1.69-3.61),248,94.66,4.27 (4.02-4.52)
GLU like neurons 17,1316,0.086,16.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220,0.195,55.0,410,16,3.9,3.31 (2.33-4.30),394,96.1,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,238,0.077,3.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37)
endothelial cells 9,559,0.147,45.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,228,0.107,15.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,2402,0.344,73.0,455,25,5.49,2.61 (1.83-3.39),430,94.51,4.48 (4.30-4.67)
astrocytes 8,520,0.068,23.0,288,14,4.86,2.52 (1.88-3.16),274,95.14,4.28 (4.08-4.48)
oligodendrocyte progenitor cells 12,1049,0.09,49.0,235,9,3.83,3.08 (2.28-3.88),226,96.17,3.86 (3.62-4.10)
oligodendrocytes 10,735,0.108,57.0,277,2,0.72,7.18 (5.03-9.33),275,99.28,3.86 (3.62-4.10)
connective tissue cells 21,301,0.352,46.0,158,8,5.06,1.83 (0.94-2.72),150,94.94,4.42 (4.06-4.79)
astrocytes 15,1768,0.05,14.0,105,17,16.19,2.02 (1.08-2.97),88,83.81,3.46 (3.13-3.79)
oligodendrocytes 16,69,0.188,28.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,409,0.075,13.0,235,8,3.4,2.02 (1.43-2.62),227,96.6,4.07 (3.82-4.32)
astrocytes microglia 23,115,0.297,43.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.127,21.0,104,16,15.38,1.63 (1.05-2.22),88,84.62,3.11 (2.82-3.40)
oligodendrocytes 0,613,0.157,64.0,127,12,9.45,3.22 (2.00-4.45),115,90.55,3.02 (2.58-3.46)
microglia 1,958,0.094,23.0,290,9,3.1,2.79 (1.48-4.09),281,96.9,3.85 (3.62-4.08)
oligodendrocytes 3,743,0.137,91.0,76,4,5.26,5.24 (2.94-7.53),72,94.74,3.03 (2.65-3.41)
oligodendrocytes 2,528,0.298,84.0,175,7,4.0,4.24 (2.28-6.21),168,96.0,4.39 (4.03-4.74)
