tipo_celular,module_size,MECP2_MM,MECP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.159,35.0,102,27,26.47,2.34 (1.91-2.77),75,73.53,3.95 (3.51-4.38)
T cells 18,624,0.186,75.0,142,4,2.82,4.03 (3.56-4.50),138,97.18,3.20 (2.93-3.47)
astrocytes 5,932,0.099,36.0,80,3,3.75,4.43 (4.31-4.56),77,96.25,3.64 (3.21-4.06)
oligodendrocyte progenitor cells 7,666,0.092,7.0,127,7,5.51,1.66 (0.86-2.46),120,94.49,4.00 (3.66-4.33)
GABA neurons expressing GLU receptors 22,487,0.132,16.0,73,8,10.96,2.16 (1.22-3.10),65,89.04,2.84 (2.43-3.26)
GLU like neurons 17,489,0.063,4.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,853,0.138,56.0,133,60,45.11,2.45 (2.13-2.77),73,54.89,4.13 (3.68-4.59)
GABA neurons expressing GABA receptors 13,238,0.178,57.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.078,12.0,297,11,3.7,4.42 (3.54-5.31),286,96.3,3.65 (3.44-3.86)
oligodendrocytes 20,228,0.103,15.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51)
GABA like neurons 14,3052,0.134,45.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,283,0.049,10.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.095,70.0,276,52,18.84,2.26 (1.96-2.57),224,81.16,3.93 (3.69-4.17)
oligodendrocytes 10,2107,0.045,4.0,358,78,21.79,2.35 (2.05-2.65),280,78.21,4.44 (4.25-4.62)
connective tissue cells 21,69,0.253,27.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,377,0.128,31.0,14,9,64.29,2.71 (1.14-4.29),5,35.71,0.79 (-0.13-1.70)
oligodendrocytes 16,155,0.317,92.0,8,3,37.5,2.05 (-1.04-5.13),5,62.5,3.72 (-3.06-10.50)
da neurons 6,448,0.126,73.0,43,6,13.95,3.88 (3.69-4.07),37,86.05,3.16 (2.54-3.78)
astrocytes microglia 23,327,0.257,23.0,120,19,15.83,2.01 (1.46-2.57),101,84.17,3.99 (3.70-4.29)
astrocytes 4,721,0.134,19.0,61,4,6.56,2.12 (1.37-2.87),57,93.44,3.01 (2.58-3.44)
oligodendrocytes 0,1186,0.108,9.0,300,17,5.67,3.88 (3.34-4.42),283,94.33,3.79 (3.57-4.00)
microglia 1,480,0.196,53.0,163,6,3.68,4.75 (4.21-5.29),157,96.32,3.66 (3.39-3.94)
oligodendrocytes 3,681,0.064,19.0,87,53,60.92,2.45 (2.14-2.77),34,39.08,2.83 (2.32-3.33)
oligodendrocytes 2,921,0.099,5.0,200,11,5.5,3.80 (2.71-4.88),189,94.5,3.61 (3.34-3.89)
