tipo_celular,module_size,API5_MM,API5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.225,54.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,518,0.133,33.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656,0.125,66.0,136,3,2.21,1.74 (1.04-2.45),133,97.79,3.25 (2.97-3.52)
oligodendrocyte progenitor cells 7,4285,0.144,64.0,353,27,7.65,1.73 (1.27-2.18),326,92.35,4.11 (3.93-4.29)
GABA neurons expressing GLU receptors 22,567,0.23,65.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,489,0.071,8.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,1220,0.071,3.0,410,10,2.44,3.10 (2.13-4.08),400,97.56,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,265,0.067,2.0,78,1,1.28,2.00 (NA-NA),77,98.72,4.40 (3.99-4.81)
endothelial cells 9,385,0.101,48.0,275,32,11.64,2.49 (1.89-3.09),243,88.36,4.23 (3.96-4.50)
oligodendrocytes 20,250,0.231,67.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052,0.178,81.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603,0.043,14.0,89,3,3.37,1.74 (1.04-2.45),86,96.63,2.81 (2.45-3.17)
oligodendrocyte progenitor cells 12,3303,0.078,50.0,276,17,6.16,1.85 (1.41-2.30),259,93.84,3.68 (3.46-3.90)
oligodendrocytes 10,735,0.107,57.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,125,0.354,74.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1768,0.133,85.0,105,16,15.24,1.76 (1.30-2.22),89,84.76,3.46 (3.10-3.82)
oligodendrocytes 16,87,0.213,66.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.071,9.0,122,11,9.02,1.19 (0.60-1.77),111,90.98,4.33 (3.95-4.70)
astrocytes microglia 23,110,0.335,63.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.142,45.0,104,18,17.31,1.81 (1.31-2.31),86,82.69,3.07 (2.77-3.38)
oligodendrocytes 0,2078,0.142,95.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88)
microglia 1,813,0.102,31.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,743,0.06,18.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57)
oligodendrocytes 2,921,0.142,60.0,200,6,3.0,3.01 (1.98-4.05),194,97.0,3.64 (3.37-3.91)
