tipo_celular,module_size,XPOT_MM,XPOT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.172,58.0,97,1,1.03,5.72 (NA-NA),96,98.97,3.02 (2.63-3.41)
T cells 18,727,0.158,61.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656,0.121,59.0,136,3,2.21,2.32 (0.50-4.14),133,97.79,3.23 (2.96-3.50)
oligodendrocyte progenitor cells 7,4285,0.119,26.0,353,42,11.9,2.95 (2.37-3.53),311,88.1,4.06 (3.88-4.25)
GABA neurons expressing GLU receptors 22,487,0.181,34.0,73,1,1.37,1.55 (NA-NA),72,98.63,2.77 (2.39-3.16)
GLU like neurons 17,1316,0.094,23.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42)
da like neurons 11,1220,0.1,15.0,410,10,2.44,2.50 (1.51-3.49),400,97.56,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,65,0.116,16.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,338,0.08,19.0,191,1,0.52,2.06 (NA-NA),190,99.48,3.90 (3.67-4.12)
oligodendrocytes 20,330,0.119,26.0,36,4,11.11,2.17 (1.94-2.41),32,88.89,1.89 (1.49-2.28)
GABA like neurons 14,2402,0.163,29.0,455,26,5.71,2.10 (1.54-2.65),429,94.29,4.54 (4.35-4.72)
astrocytes 8,260,0.093,29.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,708,0.087,39.0,32,8,25.0,1.46 (0.45-2.47),24,75.0,3.96 (3.07-4.85)
oligodendrocytes 10,735,0.137,71.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,84,0.185,8.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768,0.101,64.0,105,18,17.14,2.20 (1.64-2.77),87,82.86,3.44 (3.07-3.82)
oligodendrocytes 16,74,0.116,9.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307,0.101,32.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,42,0.451,93.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.136,33.0,104,17,16.35,2.01 (1.44-2.58),87,83.65,3.05 (2.74-3.35)
oligodendrocytes 0,2078,0.118,57.0,238,12,5.04,4.52 (3.42-5.63),226,94.96,3.58 (3.36-3.80)
microglia 1,813,0.144,75.0,79,1,1.27,2.24 (NA-NA),78,98.73,3.11 (2.71-3.52)
oligodendrocytes 3,743,0.074,39.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630,0.17,94.0,154,2,1.3,2.12 (NA-NA),152,98.7,3.25 (2.99-3.52)
