tipo_celular,module_size,KPNA1_MM,KPNA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.173,51.0,47,1,2.13,NA,46,97.87,2.59 (2.10-3.08)
T cells 18,518,0.169,60.0,131,2,1.53,4.17 (NA-NA),129,98.47,3.06 (2.79-3.34)
astrocytes 5,1141,0.133,53.0,166,24,14.46,2.15 (1.62-2.69),142,85.54,3.65 (3.39-3.91)
oligodendrocyte progenitor cells 7,4285,0.158,83.0,353,53,15.01,2.43 (2.04-2.82),300,84.99,4.21 (4.02-4.40)
GABA neurons expressing GLU receptors 22,599,0.123,11.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,380,0.258,92.0,39,4,10.26,3.29 (2.33-4.24),35,89.74,2.93 (2.32-3.54)
da like neurons 11,289,0.203,60.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,101,0.21,88.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,1653,0.127,49.0,297,4,1.35,4.34 (4.15-4.54),293,98.65,3.66 (3.45-3.87)
oligodendrocytes 20,298,0.245,82.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052,0.213,95.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66)
astrocytes 8,354,0.186,82.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.098,72.0,276,45,16.3,2.52 (2.12-2.91),231,83.7,3.78 (3.54-4.02)
oligodendrocytes 10,2107,0.124,40.0,358,53,14.8,2.35 (1.95-2.76),305,85.2,4.20 (4.01-4.39)
connective tissue cells 21,126,0.206,10.0,7,2,28.57,1.12 (0.53-1.72),5,71.43,1.69 (0.21-3.17)
astrocytes 15,1768,0.079,44.0,105,22,20.95,2.43 (1.82-3.05),83,79.05,3.44 (3.06-3.82)
oligodendrocytes 16,82,0.232,67.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.105,46.0,122,25,20.49,2.69 (1.96-3.42),97,79.51,4.41 (3.99-4.84)
astrocytes microglia 23,127,0.151,3.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787,0.16,67.0,65,2,3.08,NA,63,96.92,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.127,34.0,127,19,14.96,2.80 (2.35-3.26),108,85.04,3.12 (2.60-3.64)
microglia 1,958,0.103,38.0,290,22,7.59,3.35 (2.74-3.95),268,92.41,3.86 (3.61-4.10)
oligodendrocytes 3,743,0.095,67.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.119,22.0,200,24,12.0,3.76 (3.31-4.20),176,88.0,3.61 (3.32-3.90)
