tipo_celular,module_size,FTO_MM,FTO_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.285,92.0,47,1,2.13,5.72 (NA-NA),46,97.87,2.50 (2.03-2.97)
T cells 18,727,0.176,74.0,49,2,4.08,2.79 (2.27-3.31),47,95.92,2.41 (2.00-2.82)
astrocytes 5,222,0.155,27.0,98,3,3.06,1.91 (0.72-3.10),95,96.94,4.70 (4.30-5.10)
oligodendrocyte progenitor cells 7,448,0.093,15.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,703,0.116,14.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,1247,0.137,53.0,51,2,3.92,2.00 (NA-NA),49,96.08,3.66 (3.08-4.25)
da like neurons 11,215,0.337,84.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,288,0.239,74.0,93,9,9.68,2.16 (1.52-2.80),84,90.32,5.58 (5.11-6.05)
endothelial cells 9,1653,0.216,94.0,297,7,2.36,4.29 (3.07-5.50),290,97.64,3.66 (3.45-3.86)
oligodendrocytes 20,676,0.63,92.0,110,7,6.36,1.57 (0.91-2.23),103,93.64,5.28 (4.86-5.70)
GABA like neurons 14,1300,0.22,56.0,306,17,5.56,2.12 (1.66-2.58),289,94.44,5.36 (5.11-5.61)
astrocytes 8,279,0.288,56.0,78,10,12.82,2.40 (2.05-2.74),68,87.18,4.65 (4.23-5.08)
oligodendrocyte progenitor cells 12,254,0.291,51.0,37,4,10.81,2.63 (2.45-2.81),33,89.19,4.77 (4.18-5.37)
oligodendrocytes 10,236,0.446,36.0,82,2,2.44,2.73 (2.43-3.02),80,97.56,5.07 (4.54-5.59)
connective tissue cells 21,90,0.202,6.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,418,0.397,82.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,287,0.39,75.0,105,8,7.62,1.77 (1.24-2.31),97,92.38,5.50 (5.11-5.89)
da neurons 6,398,0.123,37.0,138,21,15.22,2.66 (1.94-3.38),117,84.78,5.27 (4.91-5.63)
astrocytes microglia 23,91,0.161,4.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,220,0.067,2.0,63,8,12.7,2.75 (2.35-3.15),55,87.3,5.61 (5.04-6.17)
oligodendrocytes 0,261,0.206,65.0,42,7,16.67,1.51 (0.95-2.08),35,83.33,4.77 (4.14-5.40)
microglia 1,813,0.13,66.0,79,3,3.8,5.16 (5.16-5.16),76,96.2,3.01 (2.60-3.42)
oligodendrocytes 3,116,0.235,20.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,237,0.156,21.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
