tipo_celular,module_size,COA1_MM,COA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.121,21.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,388,0.108,23.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1141,0.112,25.0,166,5,3.01,1.41 (0.23-2.58),161,96.99,3.47 (3.22-3.72)
oligodendrocyte progenitor cells 7,4285,0.176,96.0,353,18,5.1,1.47 (0.99-1.94),335,94.9,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,1069,0.188,67.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,795,0.07,9.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,109,0.177,37.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,80,0.136,23.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653,0.142,62.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,938,0.159,66.0,169,11,6.51,1.84 (1.37-2.32),158,93.49,3.62 (3.40-3.84)
GABA like neurons 14,3052,0.135,46.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283,0.193,77.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.115,87.0,276,6,2.17,2.03 (1.34-2.71),270,97.83,3.59 (3.37-3.81)
oligodendrocytes 10,2107,0.12,39.0,358,14,3.91,1.27 (0.72-1.83),344,96.09,4.00 (3.82-4.19)
connective tissue cells 21,103,0.231,18.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1768,0.054,18.0,105,7,6.67,1.39 (0.87-1.91),98,93.33,3.35 (3.01-3.70)
oligodendrocytes 16,74,0.149,18.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,448,0.074,16.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,255,0.278,65.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,721,0.159,65.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,1186,0.141,43.0,300,1,0.33,2.89 (NA-NA),299,99.67,3.80 (3.59-4.00)
microglia 1,1615,0.121,66.0,161,12,7.45,1.11 (0.52-1.70),149,92.55,3.49 (3.23-3.75)
oligodendrocytes 3,854,0.091,51.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804,0.12,14.0,84,5,5.95,1.37 (0.67-2.07),79,94.05,2.79 (2.45-3.14)
