tipo_celular,module_size,EIF4G1_MM,EIF4G1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.237,70.0,140,3,2.14,4.24 (-0.16-8.65),137,97.86,4.51 (4.09-4.94)
T cells 18,610,0.125,29.0,98,36,36.73,2.45 (1.91-3.00),62,63.27,3.58 (3.25-3.91)
astrocytes 5,1656,0.114,48.0,136,8,5.88,2.08 (1.18-2.98),128,94.12,3.29 (3.01-3.57)
oligodendrocyte progenitor cells 7,296,0.119,14.0,251,3,1.2,3.39 (2.68-4.10),248,98.8,4.08 (3.84-4.32)
GABA neurons expressing GLU receptors 22,599,0.188,39.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316,0.135,60.0,101,6,5.94,4.54 (3.12-5.96),95,94.06,2.93 (2.58-3.28)
da like neurons 11,1220,0.216,61.0,410,46,11.22,3.82 (3.32-4.32),364,88.78,4.32 (4.12-4.52)
GABA neurons expressing GABA receptors 13,265,0.181,64.0,78,6,7.69,5.11 (3.23-6.99),72,92.31,4.27 (3.86-4.69)
endothelial cells 9,385,0.14,75.0,275,79,28.73,2.85 (2.48-3.22),196,71.27,4.67 (4.38-4.96)
oligodendrocytes 20,358,0.058,21.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79)
GABA like neurons 14,2402,0.243,54.0,455,62,13.63,3.39 (2.85-3.93),393,86.37,4.55 (4.36-4.73)
astrocytes 8,520,0.097,40.0,288,33,11.46,3.62 (3.09-4.15),255,88.54,4.27 (4.06-4.48)
oligodendrocyte progenitor cells 12,3303,0.06,26.0,276,59,21.38,2.69 (2.30-3.08),217,78.62,3.84 (3.60-4.09)
oligodendrocytes 10,735,0.228,93.0,277,7,2.53,6.41 (5.48-7.33),270,97.47,3.82 (3.58-4.06)
connective tissue cells 21,139,0.393,88.0,4,3,75.0,3.51 (1.72-5.30),1,25.0,3.52 (NA-NA)
astrocytes 15,1401,0.084,48.0,96,15,15.62,3.46 (2.59-4.33),81,84.38,3.65 (3.13-4.17)
oligodendrocytes 16,94,0.213,55.0,5,1,20.0,3.78 (NA-NA),4,80.0,2.59 (1.15-4.04)
da neurons 6,518,0.188,93.0,122,30,24.59,2.55 (2.05-3.05),92,75.41,4.64 (4.20-5.08)
astrocytes microglia 23,96,0.331,62.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,1807,0.12,12.0,104,24,23.08,1.97 (1.47-2.48),80,76.92,3.16 (2.85-3.47)
oligodendrocytes 0,2078,0.104,30.0,238,18,7.56,3.41 (2.66-4.16),220,92.44,3.66 (3.43-3.89)
microglia 1,406,0.094,12.0,278,10,3.6,3.94 (3.21-4.67),268,96.4,4.38 (4.10-4.67)
oligodendrocytes 3,457,0.082,29.0,345,48,13.91,3.78 (3.33-4.23),297,86.09,4.39 (4.16-4.62)
oligodendrocytes 2,1630,0.154,76.0,154,6,3.9,3.14 (2.19-4.10),148,96.1,3.25 (2.98-3.52)
