tipo_celular,module_size,USP15_MM,USP15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.221,73.0,73,22,30.14,4.34 (3.91-4.76),51,69.86,3.12 (2.69-3.55)
T cells 18,388,0.155,52.0,84,4,4.76,3.11 (2.47-3.75),80,95.24,2.97 (2.62-3.31)
astrocytes 5,1141,0.157,83.0,166,28,16.87,2.31 (1.82-2.80),138,83.13,3.64 (3.37-3.91)
oligodendrocyte progenitor cells 7,4285,0.202,100.0,353,50,14.16,2.21 (1.83-2.58),303,85.84,4.23 (4.05-4.41)
GABA neurons expressing GLU receptors 22,714,0.228,73.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,637,0.082,13.0,91,12,13.19,1.23 (0.63-1.83),79,86.81,5.26 (4.83-5.69)
da like neurons 11,265,0.339,93.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,101,0.133,23.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,1653,0.192,87.0,297,13,4.38,4.08 (3.49-4.67),284,95.62,3.66 (3.45-3.87)
oligodendrocytes 20,298,0.269,88.0,6,3,50.0,NA,3,50.0,0.26 (NA-NA)
GABA like neurons 14,3052,0.199,91.0,125,4,3.2,3.98 (3.02-4.95),121,96.8,3.33 (3.00-3.66)
astrocytes 8,260,0.166,72.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA
oligodendrocyte progenitor cells 12,3303,0.132,95.0,276,39,14.13,2.40 (1.98-2.83),237,85.87,3.77 (3.54-4.00)
oligodendrocytes 10,2107,0.528,100.0,358,61,17.04,2.29 (1.88-2.70),297,82.96,4.25 (4.07-4.44)
connective tissue cells 21,86,0.282,56.0,7,2,28.57,3.30 (2.61-3.99),5,71.43,3.16 (2.11-4.22)
astrocytes 15,443,0.113,21.0,9,4,44.44,2.99 (1.55-4.42),5,55.56,3.55 (1.22-5.88)
oligodendrocytes 16,71,0.207,69.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,398,0.112,29.0,138,25,18.12,2.49 (2.02-2.97),113,81.88,5.43 (5.07-5.78)
astrocytes microglia 23,229,0.265,39.0,99,2,2.02,4.57 (4.47-4.66),97,97.98,4.29 (3.95-4.63)
astrocytes 4,752,0.144,36.0,96,3,3.12,3.24 (2.06-4.41),93,96.88,3.29 (2.95-3.63)
oligodendrocytes 0,1186,0.174,90.0,300,10,3.33,3.74 (3.23-4.24),290,96.67,3.80 (3.58-4.01)
microglia 1,315,0.077,6.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79)
oligodendrocytes 3,681,0.111,64.0,87,30,34.48,2.00 (1.64-2.35),57,65.52,2.92 (2.57-3.26)
oligodendrocytes 2,804,0.15,49.0,84,13,15.48,2.65 (1.85-3.45),71,84.52,2.70 (2.33-3.07)
