tipo_celular,module_size,UBE2D3_MM,UBE2D3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.142,29.0,102,47,46.08,2.65 (2.34-2.96),55,53.92,4.20 (3.66-4.75)
T cells 18,388,0.111,26.0,84,9,10.71,2.54 (2.25-2.83),75,89.29,3.03 (2.66-3.39)
astrocytes 5,423,0.262,90.0,80,3,3.75,3.37 (1.09-5.65),77,96.25,3.40 (2.92-3.89)
oligodendrocyte progenitor cells 7,666,0.151,37.0,127,27,21.26,3.00 (2.29-3.71),100,78.74,4.08 (3.72-4.45)
GABA neurons expressing GLU receptors 22,599,0.274,78.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685,0.181,72.0,135,39,28.89,2.55 (2.07-3.04),96,71.11,3.46 (3.09-3.83)
da like neurons 11,153,0.203,41.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,93,0.142,37.0,2,2,100.0,NA,0,0.0,NA
endothelial cells 9,385,0.191,89.0,275,74,26.91,2.53 (2.23-2.82),201,73.09,4.73 (4.44-5.02)
oligodendrocytes 20,250,0.129,24.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,1300,0.103,10.0,306,21,6.86,2.33 (1.90-2.76),285,93.14,5.39 (5.14-5.64)
astrocytes 8,727,0.196,88.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84)
oligodendrocyte progenitor cells 12,143,0.493,91.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,2107,0.2,69.0,358,100,27.93,2.68 (2.40-2.96),258,72.07,4.47 (4.27-4.67)
connective tissue cells 21,110,0.217,23.0,13,8,61.54,3.18 (2.52-3.84),5,38.46,3.01 (0.99-5.03)
astrocytes 15,1768,0.093,56.0,105,38,36.19,2.61 (2.23-2.98),67,63.81,3.60 (3.13-4.07)
oligodendrocytes 16,199,0.172,55.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,553,0.105,31.0,124,17,13.71,3.60 (2.61-4.60),107,86.29,4.25 (3.83-4.67)
astrocytes microglia 23,327,0.295,38.0,120,35,29.17,2.31 (1.89-2.72),85,70.83,4.18 (3.87-4.49)
astrocytes 4,514,0.349,92.0,95,7,7.37,2.78 (0.88-4.69),88,92.63,3.43 (3.01-3.85)
oligodendrocytes 0,613,0.159,66.0,127,23,18.11,2.61 (2.21-3.01),104,81.89,3.23 (2.68-3.78)
microglia 1,958,0.18,96.0,290,39,13.45,3.60 (2.98-4.21),251,86.55,3.85 (3.60-4.09)
oligodendrocytes 3,854,0.129,82.0,76,4,5.26,2.11 (0.24-3.98),72,94.74,2.81 (2.48-3.14)
oligodendrocytes 2,804,0.131,25.0,84,32,38.1,3.21 (2.67-3.76),52,61.9,2.39 (1.99-2.80)
