tipo_celular,module_size,ABI2_MM,ABI2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.059,2.0,140,39,27.86,4.53 (3.94-5.12),101,72.14,4.57 (4.25-4.89)
T cells 18,610,0.127,30.0,98,27,27.55,1.78 (1.27-2.28),71,72.45,3.62 (3.31-3.94)
astrocytes 5,932,0.104,43.0,80,3,3.75,3.84 (3.13-4.55),77,96.25,3.66 (3.24-4.09)
oligodendrocyte progenitor cells 7,448,0.104,22.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,848,0.21,49.0,262,39,14.89,4.82 (4.01-5.63),223,85.11,4.01 (3.78-4.25)
GLU like neurons 17,1316,0.063,6.0,101,4,3.96,2.92 (2.78-3.07),97,96.04,3.06 (2.70-3.41)
da like neurons 11,132,0.295,61.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,93,0.292,99.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,586,0.126,28.0,62,9,14.52,4.77 (3.68-5.86),53,85.48,3.92 (3.44-4.40)
oligodendrocytes 20,403,0.199,78.0,18,10,55.56,0.95 (0.48-1.41),8,44.44,3.04 (2.13-3.95)
GABA like neurons 14,1300,0.116,12.0,306,85,27.78,4.74 (4.26-5.23),221,72.22,5.28 (4.97-5.58)
astrocytes 8,520,0.03,2.0,288,23,7.99,3.82 (2.91-4.73),265,92.01,4.20 (4.00-4.40)
oligodendrocyte progenitor cells 12,143,0.516,98.0,1,1,100.0,7.70 (NA-NA),0,0.0,NA
oligodendrocytes 10,806,0.079,17.0,261,29,11.11,5.83 (5.17-6.49),232,88.89,4.16 (3.91-4.40)
connective tissue cells 21,86,0.157,3.0,7,3,42.86,3.78 (2.76-4.79),4,57.14,2.77 (1.83-3.72)
astrocytes 15,377,0.106,16.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,121,0.181,25.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,553,0.147,64.0,124,7,5.65,3.50 (2.05-4.95),117,94.35,4.23 (3.82-4.64)
astrocytes microglia 23,190,0.337,88.0,7,2,28.57,6.29 (4.53-8.04),5,71.43,4.11 (3.48-4.75)
astrocytes 4,752,0.155,52.0,96,5,5.21,4.27 (3.58-4.96),91,94.79,3.22 (2.88-3.57)
oligodendrocytes 0,1186,0.15,60.0,300,9,3.0,4.24 (3.47-5.00),291,97.0,3.78 (3.57-3.99)
microglia 1,1615,0.127,74.0,161,28,17.39,1.89 (1.39-2.38),133,82.61,3.63 (3.35-3.90)
oligodendrocytes 3,1003,0.076,28.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64)
oligodendrocytes 2,921,0.115,17.0,200,4,2.0,3.22 (1.87-4.57),196,98.0,3.63 (3.36-3.90)
