tipo_celular,module_size,CLASP2_MM,CLASP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.293,79.0,15,8,53.33,5.71 (4.80-6.62),7,46.67,5.93 (4.70-7.17)
T cells 18,349,0.241,68.0,68,43,63.24,4.60 (3.89-5.32),25,36.76,3.89 (3.06-4.73)
astrocytes 5,222,0.159,29.0,98,23,23.47,5.71 (4.52-6.89),75,76.53,4.31 (3.93-4.70)
oligodendrocyte progenitor cells 7,436,0.188,79.0,219,49,22.37,5.31 (4.74-5.88),170,77.63,5.18 (4.85-5.51)
GABA neurons expressing GLU receptors 22,567,0.212,59.0,16,5,31.25,2.87 (1.72-4.02),11,68.75,1.61 (0.88-2.35)
GLU like neurons 17,637,0.144,44.0,91,42,46.15,3.56 (2.84-4.27),49,53.85,5.67 (5.12-6.22)
da like neurons 11,289,0.29,86.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,288,0.267,78.0,93,52,55.91,4.99 (4.34-5.65),41,44.09,5.40 (4.64-6.15)
endothelial cells 9,450,0.426,82.0,74,33,44.59,5.57 (4.81-6.32),41,55.41,5.39 (4.59-6.18)
oligodendrocytes 20,676,0.238,46.0,110,76,69.09,4.92 (4.42-5.42),34,30.91,5.17 (4.21-6.13)
GABA like neurons 14,1300,0.087,7.0,306,105,34.31,4.62 (4.16-5.07),201,65.69,5.38 (5.07-5.69)
astrocytes 8,771,0.359,86.0,48,14,29.17,6.35 (5.16-7.54),34,70.83,3.58 (2.82-4.33)
oligodendrocyte progenitor cells 12,153,0.058,12.0,27,5,18.52,2.88 (0.93-4.82),22,81.48,5.32 (4.38-6.26)
oligodendrocytes 10,204,0.409,40.0,92,21,22.83,6.10 (4.97-7.24),71,77.17,5.59 (5.07-6.11)
connective tissue cells 21,250,0.312,53.0,117,45,38.46,4.95 (4.30-5.59),72,61.54,5.73 (5.26-6.21)
astrocytes 15,208,0.498,91.0,4,2,50.0,4.85 (NA-NA),2,50.0,2.25 (-0.30-4.81)
oligodendrocytes 16,75,0.091,5.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398,0.222,74.0,138,53,38.41,4.33 (3.78-4.88),85,61.59,5.21 (4.72-5.69)
astrocytes microglia 23,141,0.192,13.0,30,18,60.0,5.47 (4.31-6.62),12,40.0,6.19 (5.11-7.27)
astrocytes 4,220,0.164,51.0,63,31,49.21,4.54 (3.78-5.29),32,50.79,5.89 (5.15-6.62)
oligodendrocytes 0,479,0.255,93.0,40,18,45.0,6.10 (5.07-7.13),22,55.0,5.70 (5.17-6.23)
microglia 1,127,0.199,56.0,24,10,41.67,5.29 (4.06-6.53),14,58.33,5.05 (4.23-5.87)
oligodendrocytes 3,99,0.137,10.0,24,10,41.67,7.42 (6.65-8.20),14,58.33,5.67 (4.87-6.47)
oligodendrocytes 2,237,0.333,88.0,26,9,34.62,NA,17,65.38,5.22 (4.28-6.15)
